ISO_Code,Year,RGDP Per Capita Lag
CAN,2015-01-01,42833.0
CPV,2015-01-01,6353.0
CAF,2015-01-01,589.0
TCD,2015-01-01,2282.0
CHL,2015-01-01,21090.0
CHN,2015-01-01,11708.0
COL,2015-01-01,12619.0
COD,2015-01-01,802.0
COG,2015-01-01,4561.0
CRI,2015-01-01,13117.0
CIV,2015-01-01,3250.0
HRV,2015-01-01,20466.0
CYP,2015-01-01,25331.0
CZE,2015-01-01,29148.0
DNK,2015-01-01,44542.0
DOM,2015-01-01,12657.0
ECU,2015-01-01,11046.0
EGY,2015-01-01,11092.0
SLV,2015-01-01,7988.0
EST,2015-01-01,25424.0
ETH,2015-01-01,1481.0
FJI,2015-01-01,
FIN,2015-01-01,37943.0
FRA,2015-01-01,38134.0
GAB,2015-01-01,14053.0
GMB,2015-01-01,1901.0
GEO,2015-01-01,9903.0
DEU,2015-01-01,46038.0
GHA,2015-01-01,3627.0
GRC,2015-01-01,24437.0
GTM,2015-01-01,6900.0
GIN,2015-01-01,1646.0
GNB,2015-01-01,1277.0
GUY,2015-01-01,
HTI,2015-01-01,1655.0
HND,2015-01-01,4272.0
HKG,2015-01-01,45785.0
HUN,2015-01-01,22766.0
ISL,2015-01-01,39383.0
IND,2015-01-01,5312.0
IDN,2015-01-01,9720.0
IRN,2015-01-01,15261.0
IRQ,2015-01-01,12889.0
IRL,2015-01-01,51772.0
ISR,2015-01-01,31454.0
ITA,2015-01-01,34371.0
JAM,2015-01-01,7096.0
JPN,2015-01-01,35550.0
JOR,2015-01-01,11741.0
KAZ,2015-01-01,23398.0
KEN,2015-01-01,2984.0
KOR,2015-01-01,34538.0
KWT,2015-01-01,69228.0
KGZ,2015-01-01,5773.0
LAO,2015-01-01,5667.0
LVA,2015-01-01,21944.0
LBN,2015-01-01,13117.0
LSO,2015-01-01,2881.0
LBR,2015-01-01,816.0
LBY,2015-01-01,9736.0
LTU,2015-01-01,24604.0
LUX,2015-01-01,66750.0
MKD,2015-01-01,13110.0
MDG,2015-01-01,1282.0
MWI,2015-01-01,964.0
MYS,2015-01-01,21339.0
MLI,2015-01-01,1514.0
MLT,2015-01-01,25001.0
MRT,2015-01-01,3357.0
MUS,2015-01-01,17756.0
MEX,2015-01-01,15531.0
MDA,2015-01-01,5534.0
MNG,2015-01-01,11035.0
MNE,2015-01-01,16903.0
MAR,2015-01-01,7324.0
MOZ,2015-01-01,1227.0
MMR,2015-01-01,5493.0
NAM,2015-01-01,11484.0
NPL,2015-01-01,2571.0
NLD,2015-01-01,47747.0
NZL,2015-01-01,33091.0
