ISO_Code,Year,Countries,SUMMARY INDEX,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,RGDP Per Capita
BGD,2016,Bangladesh,6.3,120.0,3.0,9.455882352941176,7.85,9.72459035489214,1.5107533975458505,7.0,22.48,8.0,30,8.0,30,8.0,8.54511817695833,3.888845443333333,3.418127894166667,5.083289941666668,4.166666666666667,3.333333333333333,0.941148344436631,3.1204785145093896,3.75496149,4.728147586666667,0.7948717948717948,3.234259180960904,9.489123370900373,2.5543831454981403,9.548043614818756,1.1298909629531104,8.8973,5.5135,0.0,6.983616746429782,6.24,5.64,7.22,13.9,6.163599999999999,9.591000000000001,6.5412,6.314549446666668,0.16272189349112426,3.238635670078896,10.0,5.499794681666667,0.0,7.633169250747123,4.37765464413793,6.0393725785542065,5.0,8.652250914760135,10.0,7.8840836382533785,10.0,5.2818957966666655,6.693922678333334,10.0,1.3660621301311653,10.0,7.223646767521861,3.827479283333333,2.666666666666667,9.14142804220239,2.4887812931666664,6.527180179100606,5.123942986502545,4.9625797418287005,6.690103382534647,3250.0
BRB,2016,Barbados,6.43,111.0,3.0,7.564494671732064,14.280718116110982,5.968941942715084,15.293983070235644,6.0,29.0,6.0,37,6.0,37,6.0,6.383359153611787,6.430163630011942,4.110034170604887,6.498498057021576,9.8,,3.8030033291227787,6.1747971344709764,7.495681957322725,4.8959750123575425,0.8717948717948718,5.756723061276613,6.43480047085321,17.82599764573395,9.203652017519564,1.9908699562010874,9.98,-0.1,0.0,6.404613122093194,8.353333333333332,2.47,7.859999999999999,10.7,5.6344,5.6344,7.282577777777777,6.036763716717156,5.286997016806309,5.661880366761732,10.0,6.842255023061012,0.0,9.403179511789933,5.415144844950315,7.0899007473724565,8.0,0.8589999999999998,10.0,6.286333333333334,8.9,3.902928673491186,6.3508404874477264,8.0,5.683031065065583,10.0,7.139466704334083,4.177819260123636,6.666666666666666,9.439918082041356,4.353261422948773,4.999638041016064,7.253715015386492,6.148503081363831,6.5247677063437495,10160.0
BLR,2016,Belarus,6.23,123.0,4.0,5.085294117647059,22.71,4.46049046321526,20.83,10.0,12.22,10.0,13,5.0,36,7.5,6.761446145215579,,4.2,,5.0,5.833333333333334,6.970305125437859,9.943302287521746,,,0.7297297297297297,5.5259573182776975,8.698423240656794,6.50788379671603,0.0,27.03737681840429,7.632683846,11.83658077,5.0,5.332776771664198,8.066666666666666,2.9,8.56,7.2,6.4864,8.783999999999999,7.704355555555555,,9.728995481940977,9.728995481940977,10.0,,0.7692,1.770010261042811,1.2696051305214056,7.175739042004484,2.0,4.551855399313026,5.0,3.8506184664376755,10.0,,,10.0,7.755176153834103,1.0,7.188794038458526,,5.555555555555555,9.833614661104981,,9.042633914873381,7.937483929922916,8.092322015364207,6.377244840086803,18766.0
BEL,2016,Belgium,7.32,52.0,2.0,2.491176470588235,31.53,2.0104156787994825,29.8217744588059,10.0,9.47,2.0,50-55,0.0,67-70,1.0,3.8753980373469292,7.683749198333333,5.396705866666668,7.907517751666666,10.0,8.333333333333334,5.565037752681858,4.767009986899752,7.667311826666667,6.278735796666667,1.0,7.066600168101661,8.094896528569402,9.52551735715299,9.808966853693585,0.4775828657660372,9.605599999999999,1.972,10.0,9.377365845565746,9.0,1.5,8.959999999999999,5.2,6.8384,7.904,8.266133333333334,6.151283581666668,9.963313764923093,8.05729867329488,10.0,7.854413985833334,3.8461538461538463,7.743794892062298,6.481454241349827,8.201221561994512,10.0,8.818197390930532,10.0,9.606065796976845,8.9,3.6462299033333334,5.418867270000001,6.0,10,10.0,7.327516195555556,3.4170214333333333,8.666666666666668,9.7580300919797,6.469408829833334,7.459619695957841,8.475531600377806,7.374379719691447,8.102653904074616,39733.0
BLZ,2016,Belize,6.86,83.0,3.0,6.632643345457315,17.44901262544513,8.431259972149354,6.257275902211874,4.0,37.43,9.0,25,,,9.0,7.015975829401667,8.027163908463116,4.2,7.385106292497897,6.4,,3.3290655609581936,7.288231811471952,3.329,4.767009986899752,0.8378378378378378,5.137397422465847,9.412644974247131,2.936775128764335,9.545453007546733,1.1363674811331659,9.86,0.7,0.0,7.2045244954484655,7.073333333333332,4.39,7.800000000000001,11.0,4.984,12.54,6.619111111111111,7.922695789808918,5.8236894701087305,6.873192629958824,10.0,7.822641806263269,0.0,6.3056615549650115,4.70943445374276,7.050434548703174,10.0,9.843825529612744,10.0,9.947941843204248,7.766666666666666,3.2944434331210193,6.505965706474997,8.0,6.546424852052466,10.0,7.018916776385858,3.039406998212948,4.888888888888889,8.259834614210698,6.724503931978228,8.843606641076972,8.352229009231895,6.684745013933271,7.8838678778411255,
BEN,2016,Benin,5.98,134.0,4.0,7.458823529411765,14.64,9.771474636055576,1.3386880856760375,4.0,31.77,4.0,45,3.0,46,3.5,6.182574541366835,3.3523269499999997,4.0986911458333335,4.988822141666667,6.3,,1.0687469743270959,6.581602170376001,5.510087808333334,4.978126685,0.6585365853658537,3.8227613773421916,9.438972576764462,2.8051371161776917,8.802567680456363,2.993580798859094,9.814,-0.93,0.0,7.013885064305207,5.84,6.24,7.559999999999999,12.2,7.023199999999999,7.441999999999999,6.807733333333332,4.270246823333333,5.155640889185521,4.712943856259427,10.0,5.217277605833334,0.7692307692307693,1.770010261042811,2.585506212035638,6.0265458504071,10.0,5.463769839984822,10.0,8.48792327999494,6.1000000000000005,4.9707663066666665,7.986614703333333,8.0,7.56810749998695,1.0,5.937581418331159,3.7170012800000003,4.222222222222222,9.671814287883986,2.7900339763333344,9.479134062667306,6.973481853691235,6.142281280466347,6.855928659597481,2166.0
BTN,2016,Bhutan,7.02,73.0,2.0,4.447058823529412,24.88,9.899419950965303,0.8691287799573382,7.0,22.39,9.0,25,8.0,26,8.5,7.461619693623678,6.159169673333333,5.319348176666666,6.705373923333333,9.2,,7.36535483490421,6.901202526638388,7.96943744,7.547393640000001,0.9230769230769231,6.8710673335187415,8.673922932354765,6.630385338226175,9.08512194619657,2.2871951345085724,9.1246,4.377,0.0,6.720911219637834,9.673333333333332,0.49,5.539999999999999,22.3,4.202,14.495,6.471777777777777,5.366191069999999,9.501185608331593,7.433688339165796,10.0,3.9421804741666673,0.0,0.33187692394552604,1.424685799370731,6.332537979078576,5.0,9.296414811943674,9.0,7.765471603981225,10.0,5.335125923333334,6.650586128333332,10.0,10,10.0,8.664285341944444,4.773720900000001,2.4444444444444446,9.574834200939366,5.7368252276666665,8.4709152049943,9.04720725023613,6.674657871380151,7.701471605768607,
BOL,2016,Bolivia,6.23,123.0,4.0,5.814705882352941,20.23,8.836512261580381,4.7700000000000005,0.0,62.62,10.0,13,10.0,13,10.0,6.16280453598333,0.9562560592320368,1.7036460217126868,3.4125183501194427,5.0,4.166666666666667,4.491576292299841,6.754125810417803,2.460317611694336,5.990888701271765,0.8717948717948718,3.6329454023921146,9.969644364198034,0.1517781790098205,8.300556519645601,4.248608700885994,9.275,3.625,10.0,9.386300220960909,9.237933285149454,1.1431000722758178,7.659999999999999,11.7,6.3496,9.126,7.749177761716484,4.917059724683204,3.045000261683657,3.9810299931834305,10.0,4.038498775655871,4.615384615384616,10.0,6.217961130346829,6.987042221311686,8.0,4.8919999999999995,10.0,7.6306666666666665,1.1,2.013098622515439,5.629298853300692,8.0,,3.0,3.948479495163226,2.542555873336661,1.7777777777777772,7.992014915135115,2.1033048797309193,5.664340717697597,0.0,3.346665693946345,4.97527061859208,6118.0
BIH,2016,Bosnia and Herzegovina,6.6,97.0,3.0,5.58235294117647,21.02,5.352167397352146,17.557545651717625,4.0,32.73,10.0,10,3.0,47,6.5,5.358630084632154,3.0817182866666664,2.3570581275,3.628379503333334,5.1,,3.7930568099817012,7.837119866297424,4.37454462,5.173087915,0.8717948717948718,4.134907779488583,8.806768786826428,5.966156065867856,9.707141921577374,0.732145196056568,9.749711999999999,-1.25144,5.0,8.31590567710095,9.99,0.015,8.740000000000002,6.3,6.925599999999999,7.686,8.551866666666667,4.7428790733333335,9.595859387266422,7.169369230299878,10.0,4.658517042500001,3.076923076923077,8.518174381268526,5.417871500230535,7.784776849299271,10.0,8.68370071704458,10.0,9.561233572348193,5.566666666666666,3.885142803333333,7.440884113333333,10.0,7.505751282062835,10.0,7.399740810899362,2.4868444600000004,5.111111111111111,7.798699060701481,3.1498296260000003,7.7397266811063545,5.392966821729991,5.279862960108156,7.413612447785238,10576.0
BWA,2016,Botswana,7.43,44.0,2.0,3.644117647058824,27.61,7.164032697547684,10.908,7.0,22.15,9.0,25,9.0,25,9.0,6.7020375861516275,5.342911085000001,5.415025353333332,6.81322813,8.333333333333334,5.833333333333334,3.0722963172342608,7.813293277547565,6.060113111666667,5.566627185000001,0.9743589743589743,5.950516248912441,8.7532109855018,6.233945072490998,8.22772190845081,4.430695228872972,9.2462,3.769,10.0,9.056783223488154,3.7600000000000007,9.36,8.48,7.6,5.5920000000000005,11.02,5.944,5.6368843716666674,9.392902983763694,7.514893677715181,10.0,6.393007834166666,5.384615384615384,10.0,7.259207739594017,7.6795253543273,8.0,9.570258459532164,9.0,8.856752819844054,10.0,4.776520331666666,6.497997443333333,10.0,3.7835647336944387,10.0,7.50968041811574,4.30487593,6.222222222222222,8.455853343236155,4.8295478821666675,9.190004085555024,8.654880823862772,6.9428973811738075,7.769776873044534,15015.0
BRA,2016,Brazil,5.75,144.0,4.0,4.714705882352941,23.97,5.7863743871934155,15.964005999000166,4.0,30.46,8.0,28,4.0,44,6.0,5.125270067386589,5.175664425000001,3.0060060824999995,5.518025556666667,6.666666666666666,3.333333333333333,3.6632524487665554,8.354687983418964,4.299419323333334,2.80659,0.9230769230769231,4.575175835436488,9.103944725623387,4.480276371883063,9.532096556906266,1.169758607734338,8.2522,8.739,5.0,7.972060320632414,8.373333333333333,2.44,7.3,13.5,6.112,9.72,7.261777777777778,3.9958786966666664,7.021015399953674,5.50844704831017,10.0,5.198825597500001,2.307692307692308,8.186297457323,5.23093845417177,7.000290820064929,5.0,3.620091628007448,5.0,4.540030542669149,2.233333333333333,1.3364863400000002,5.202722550000001,6.0,7.126625476907652,3.0,4.149861283373498,1.1215657,5.111111111111111,7.402163386014387,2.9068247876666664,4.998552164064256,0.0,3.59003619147607,4.093309339172905,13479.0
BRN,2016,Brunei Darussalam,6.93,77.0,2.0,0.0,55.35,,,,,10.0,0,10.0,7,10.0,5.0,5.154732068333333,3.5233847300000005,5.659206708333334,8.333333333333334,8.333333333333334,4.17110352572891,4.80277325762963,6.560233433333332,7.161271571666666,0.7948717948717948,5.354638229798335,9.498932854807546,2.5053357259622655,5.837362927020705,10.406592682448238,9.853539999999999,-0.7323,10.0,8.797458945457063,,,9.76,1.2,8.7568,3.108,9.2584,5.1854356133333335,2.337278106508876,3.7613568599211047,10.0,5.130599737499999,6.153846153846154,4.314400011291851,5.199615300879334,7.054843040200109,,8.257152516051963,10.0,9.128576258025982,10.0,4.704936743333333,7.415310541666668,10.0,10,10.0,8.686707880833334,3.981527486666667,6.888888888888889,9.588238439057184,5.782012184666666,9.562695521637696,9.280361240766583,7.513953960280614,8.443079366379976,
BGR,2016,Bulgaria,7.41,46.0,2.0,5.747058823529412,20.46,5.846511721057418,15.743301983719276,8.0,15.41,10.0,10,7.0,34,8.5,7.023392636146707,3.3252763749999996,3.3264493941666666,4.183209736666667,8.333333333333334,5.0,5.083931827438681,8.687651899514266,4.2607732616666665,4.903684855,0.8461538461538461,4.8312113520806435,8.462607943496007,7.686960282519961,9.454486724757441,1.3637831881063955,9.840300000000001,-0.7985,10.0,9.439348667063362,9.0,1.5,8.959999999999999,5.2,6.8384,7.904,8.266133333333334,5.369018713333333,9.839054187171698,7.604036450252515,10.0,5.3015041358333335,6.923076923076923,7.633169250747123,6.619250103219127,8.122354971701245,10.0,8.831714706908853,10.0,9.610571568969618,5.566666666666666,4.577230215,6.818470954999999,6.0,9.251725384611369,10.0,7.035682203546339,3.9090351266666667,6.222222222222222,9.251014407632361,3.5175403356666664,9.329954097065983,4.922175110081961,6.1919902165559755,7.612747996357311,17953.0
BFA,2016,Burkina Faso,6.05,129.0,4.0,3.1218464142712983,29.385722191477587,10.0,0.19474196689386564,2.0,47.14,9.0,25,4.0,42,6.5,5.405461603567824,1.853980189227443,3.594626659302742,4.163926422409304,3.333333333333333,5.833333333333334,2.1391951531836493,4.789216240578251,5.077216989247312,4.677293378256193,0.8717948717948718,3.6876565299396358,9.902544897632994,0.48727551183502804,8.632590242969822,3.418524392575445,9.950600000000001,-0.247,0.0,7.121433785150705,7.52,3.72,7.559999999999999,12.2,7.023199999999999,7.441999999999999,7.367733333333333,5.486452036933818,3.5899655458487905,4.538208791391304,10.0,5.572018731673456,0.7692307692307693,7.190666685486419,4.510638728796882,6.604145213380379,10.0,8.026940847270124,9.0,9.008980282423375,6.666666666666667,5.1508933147583,7.190212065981299,6.0,7.942244807681256,10.0,7.158336142514588,4.330187856203305,4.222222222222222,9.114328906068002,3.114515861650693,8.937328934232202,6.973481853691235,6.11534427234461,7.427553565760857,1561.0
BDI,2016,Burundi,5.92,138.0,4.0,5.961764705882353,19.73,10.0,0.46637211585665195,2.0,47.2,8.0,30,5.0,38,6.5,6.115441176470588,2.094861268333333,2.993569175833333,3.376284838333334,1.7,,2.654615660108592,8.546312702086471,3.36015145,4.6721474333333335,0.9024390243902439,3.495487068881425,8.401181798413461,7.994091007932691,8.048301011434575,4.879247471413563,8.8924,5.538,5.0,7.585470702462009,8.066666666666666,2.9,7.440000000000001,12.8,5.1872,12.032,6.897955555555556,3.6662360033333337,1.1402645129497138,2.4032502581415236,10.0,3.887162805,1.5384615384615385,10.0,5.141874781153846,6.1107701487127315,5.0,0.0,10.0,5.0,10.0,3.659567435,7.405114173333334,8.0,7.755176153834103,10.0,7.8033096270279065,3.4316408633333335,2.666666666666667,9.51583248395928,3.3049780525,9.755414495849859,7.399436259468024,6.012328136962861,6.271879254663589,692.0
KHM,2016,Cambodia,7.17,64.0,2.0,9.879411764705884,6.41,9.712056101798739,1.5567541063986272,2.0,47.58,10.0,20,10.0,20,10.0,7.897866966626156,2.7001241849999995,3.1141457958333336,4.658861955,6.0,,1.8245416814579256,7.528184380084932,3.3174196883333336,5.079974333333333,1.0,4.2779065023803575,8.19749669656369,9.012516517181556,9.641029706920662,0.8974257326983432,9.395610000000001,3.02195,10.0,9.30853410087109,8.713333333333335,1.93,7.759999999999999,11.2,6.4608,8.847999999999999,7.644711111111111,5.207586288333333,3.9881936624881917,4.597889975410762,10.0,5.776210625833333,5.384615384615384,10.0,7.053608670149572,7.324052439167861,,10.0,9.0,9.5,6.666666666666667,5.465024311666666,5.8610192933333325,10.0,6.299740912913362,5.0,6.548741864096672,4.053156773333334,4.444444444444445,6.021008136403895,3.2452686631666667,4.990408086925697,8.060786521068827,5.135845437557144,7.061529100551272,3307.0
CMR,2016,Cameroon,5.82,141.0,4.0,7.379411764705882,14.91,9.567100156057633,2.0887424272684907,7.0,20.54,5.0,39,4.0,45,4.5,7.111627980190878,3.4312637650000006,4.199537039166666,5.102848211666666,5.0,3.333333333333333,2.168525641478248,3.374665575623375,5.398001671666667,4.319142898333333,0.5853658536585366,3.199560540457234,9.586798971262308,2.066005143688465,9.474437843648095,1.3139053908797635,9.82686,0.8657,0.0,7.2220242037276,3.84,9.24,6.36,18.2,6.2871999999999995,6.2871999999999995,5.495733333333333,4.726002613333334,0.0,2.363001306666667,10.0,5.694581269999999,0.8333333333333333,0.5531282065758782,2.36034760330307,5.054770560825768,5.0,6.499665196019768,10.0,7.1665550653399235,7.2333333333333325,4.8564275100000005,6.911609173333333,8.0,7.006901538445476,10.0,7.334711925852024,3.9709496499999997,2.8888888888888884,9.041769501052721,2.9363354845000007,8.689928170811083,3.0053802840864097,5.088875329889851,6.5300474403606,2803.0
