ISO_Code_3,Year,Summary,Size of Government,Legal System and Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
CHL,2002,7.641828501550006,7.3178426344747765,6.368669008189386,8.771816939697441,8.525671802807315,7.191950407880622
CHN,2002,5.731133408952098,4.510427372480272,4.831653882096275,8.34323621167788,6.161320084656282,4.84910652914741
COL,2002,6.317416536016398,6.532150665832677,4.49797315728328,7.743092374745047,6.346719543982212,6.531769100264962
COD,2002,4.386564057038866,6.876676764244441,1.9295853646587817,3.28040272913078,5.7246545874783115,4.089621018527862
COG,2002,4.3681354797334775,4.512779357338584,3.408688273475004,4.47564883960953,4.922099240827059,4.248721977667488
CRI,2002,7.199940376895012,7.625358294460503,5.877182237814739,7.542795215475989,8.445217429387824,6.57141687688742
CIV,2002,5.601080021321391,7.59464218085517,2.3229531965341,6.926327580223254,5.713187704730741,5.4931773517239675
HRV,2002,6.210075536266384,4.678419923345368,4.797911803580286,7.913822149062304,6.997501893133134,6.641746343495173
CYP,2002,7.053036039388789,7.403408362287761,6.176946230136212,8.270403940959865,6.414556395345481,7.19895611796667
CZE,2002,7.410344472093851,6.104268873868854,6.200388987762521,9.48194832485168,8.305930617406702,6.968679141756036
DNK,2002,8.059918752963501,4.265307025372621,8.85357444723989,9.694838927025382,9.139644484701511,8.337268194376717
DOM,2002,6.732682814232584,8.45320185286359,4.3847002299997495,7.809234619384035,6.298343739936674,6.746105024507567
ECU,2002,6.242637680935178,8.4560415504152,4.000449167775109,5.833749903112412,7.080971556479083,5.834873941778292
EGY,2002,5.710781304832451,5.3262461536614625,3.4135582997298353,9.517363132443037,5.266344303824777,5.088270619215577
SLV,2002,7.441794293946519,8.394065139263727,4.771893056012229,9.585694697482879,8.113577881857987,6.320817955195664
EST,2002,7.7820696693343265,6.5401076981484465,6.793035321454339,9.242271391311563,8.62705587098543,7.660625198509053
FJI,2002,6.380821537170049,6.220495711149957,6.59856173413868,6.765933619523365,5.913939264317575,6.590135482000687
FIN,2002,8.059401046525084,5.1976173727618304,8.794043801892371,9.63317255061431,9.089386105350323,7.5594228681062585
FRA,2002,7.589567040356335,5.016713310163735,6.961127835361736,9.608273592308887,8.985065061665553,7.398802291634098
GAB,2002,5.5485898868674814,6.429934259526564,3.3434834549224814,5.75001038535447,5.611341086618228,6.615309028858484
DEU,2002,7.8596241982951405,6.055217112459224,8.075521698992103,9.594419564637255,9.305470760364827,6.291967665001773
GHA,2002,5.959278702518597,6.274990849830831,4.573005651970142,6.949279471246698,5.577882532004349,6.354650160358281
GRC,2002,7.369178885630498,6.3128181624632305,5.755209130727754,9.544298375807099,8.926372277277173,6.314985529221022
GTM,2002,7.131253058321482,8.509442054262584,3.7814032460100537,8.882289912734132,8.143065896284014,6.330693184910891
GNB,2002,5.085626403327138,6.713251030579736,2.4292134767698914,6.032557420853946,5.406867939534211,4.736775474846527
GUY,2002,6.161379720702413,3.6912566325075837,4.910740922265298,7.6939144885146495,7.518475322218019,7.01355760530952
HTI,2002,6.265645225100714,8.112519137848965,2.6412442623307744,8.44182864933746,5.527523988078377,6.865360516403444
HND,2002,7.048885985275669,8.656008230874027,3.6966034031639943,8.790862492993035,7.36232544656863,6.745582890337435
HKG,2002,8.809432383368064,8.56171900783484,7.296410084361634,9.558471970599113,9.682659334368738,8.938920927210372
HUN,2002,7.249986206896554,5.590708299225904,6.387777685434621,9.068622210262372,8.335872823250359,6.801512083885936
ISL,2002,7.898978876342421,6.198291742175979,8.281641975273713,9.113334272926775,8.193005373601759,7.724808399866311
IND,2002,6.23098693754733,7.432061585332142,5.064002104186701,6.754939253292587,5.5617029863367025,6.365077447683344
IDN,2002,6.14090000597645,7.939733766586123,3.6043614682794156,6.592378874954407,7.240680559142932,5.295632755227545
IRN,2002,5.696393228727639,6.610373684391011,3.8832913146721104,8.415406140859389,5.276259039929934,4.368676177901454
IRL,2002,8.070032543215751,6.101891532389256,7.493486285561862,9.638780889678438,9.12930912851221,7.975120065238697
ISR,2002,7.124120652173916,5.753453871582146,5.958835594080556,9.188975926615827,8.512177146992233,6.193052207691336
ITA,2002,7.659752476025369,6.28112423369205,6.916156842839444,9.569724478679856,8.815731370632474,6.739495941259849
JAM,2002,7.41992460070879,8.180775523007178,5.008069793954543,9.081935307435602,7.844449047848484,7.026519971052364
JPN,2002,7.860539460397051,6.070754555551377,7.533460168168561,9.70453561741122,8.357641494139417,7.567262628387678
JOR,2002,7.2409745199046816,6.7588895934506095,4.318683892973308,9.43785960536861,8.187030877732061,7.50211048005992
KEN,2002,6.702666217070024,6.220909266499439,3.960330153720129,9.385224466545994,6.717612356747672,7.187959653690407
KOR,2002,7.2962671428362,7.306835329311554,6.303468680794418,8.461984624065837,7.793237941061513,6.69946140848712
KWT,2002,6.96821158509465,6.240886818585637,4.6987833868792706,8.120869226911614,7.7992670213241535,7.986948904267848
LVA,2002,7.799910484759457,7.226942381612893,6.838607731759271,9.359354450352134,8.340639598618298,7.2781740249856375
LTU,2002,7.471218174109402,6.737528139809533,6.062357380603074,9.38297590685782,8.486000579222727,6.70069978622703
LUX,2002,7.920682384137692,5.35751100710021,7.4468942337308714,9.658638605229973,9.453759351014746,7.668978934919042
MDG,2002,5.840470086517934,7.437917155687459,2.8777484940665907,7.019784196489151,6.121506802253685,5.740896106284299
MWI,2002,5.431321159481253,6.376072923220071,4.967831384548108,3.7553264711606293,6.547760078561388,5.636409883248372
MYS,2002,6.286921171146665,5.245764179798272,5.047728467075043,6.826340504095358,7.209623654461171,7.108880602572297
MLI,2002,5.332592497679878,5.831214360888915,3.4715337853226926,6.170903444424323,6.001643028383049,5.234343306401499
MLT,2002,6.821408817993405,6.194081602647475,6.926785065507436,6.968493118462585,6.589720476549858,7.498022595049652
