DATE,IP
1947-06-30,-1.982968402011919
1947-07-31,-1.9888479219235253
1947-08-31,-1.982968402011919
1947-09-30,-1.9751824323473324
1947-10-31,-1.9655415910045408
1947-11-30,-1.952195862827456
1947-12-31,-1.9484132792734319
1948-01-31,-1.9427730748221705
1948-02-29,-1.9408977322317769
1948-03-31,-1.952195862827456
1948-04-30,-1.9503027825592174
1948-05-31,-1.933431334345037
1948-06-30,-1.9205046199186362
1948-07-31,-1.9205046199186362
1948-08-31,-1.9241829044355703
1948-09-30,-1.9315803133378868
1948-10-31,-1.9241829044355703
1948-11-30,-1.9371575649174173
1948-12-31,-1.9465343438243414
1949-01-31,-1.955992808663545
1949-02-28,-1.9655415910045408
1949-03-31,-1.9849244035226559
1949-04-30,-1.9908081475382202
1949-05-31,-2.0046903478660982
1949-06-30,-2.0066819066956927
1949-07-31,-2.0086848932290353
1949-08-31,-1.9987172202039296
1949-09-30,-1.9888406148396727
1949-10-31,-2.0268870429449466
1949-11-30,-2.0007043011424517
1949-12-31,-1.982968402011919
1950-01-31,-1.9655415910045408
1950-02-28,-1.961708285040185
1950-03-31,-1.929725824634796
1950-04-30,-1.896933335639269
1950-05-31,-1.8739048860457967
1950-06-30,-1.844565486150992
1950-07-31,-1.8127665816252605
1950-08-31,-1.7819418204440902
1950-09-30,-1.7883552700944925
1950-10-31,-1.7819418204440902
1950-11-30,-1.7835413308236707
1950-12-31,-1.7660917224794772
1951-01-31,-1.7629562922051785
1951-02-28,-1.7567031845132655
1951-03-31,-1.7520446473973437
1951-04-30,-1.7504946927502008
1951-05-31,-1.753591232811082
1951-06-30,-1.758262799506011
1951-07-31,-1.7739883157429364
1951-08-31,-1.7835413308236707
1951-09-30,-1.7771585828525582
1951-10-31,-1.778750454584444
1951-11-30,-1.7708221917732525
1951-12-31,-1.7645256978743666
1952-01-31,-1.753597008133706
1952-02-29,-1.7474019719696214
1952-03-31,-1.7443187866279952
1952-04-30,-1.753597008133706
1952-05-31,-1.7629562922051785
1952-06-30,-1.7724040007159938
1952-07-31,-1.7883552700944925
1952-08-31,-1.7260279100434757
1952-09-30,-1.6904148063237336
1952-10-31,-1.6802628182143795
1952-11-30,-1.6602628954439125
1952-12-31,-1.6546235806114198
1953-01-31,-1.6518131960167817
1953-02-28,-1.646216011200309
1953-03-31,-1.6378836843238012
1953-04-30,-1.633740850957274
1953-05-31,-1.6282487317344747
1953-06-30,-1.6323688277248216
1953-07-31,-1.6200641716754005
1953-08-31,-1.6255114016170695
1953-09-30,-1.646216011200309
1953-10-31,-1.654618349514642
1953-11-30,-1.6788201454266916
1953-12-31,-1.703622226263442
1954-01-31,-1.7110333028579394
1954-02-28,-1.7080600707894362
1954-03-31,-1.7140154014040223
1954-04-30,-1.7200008260162853
1954-05-31,-1.7140154014040223
1954-06-30,-1.7110333028579394
1954-07-31,-1.7095455818104783
1954-08-31,-1.7110333028579394
1954-09-30,-1.7095455818104783
1954-10-31,-1.697728288813036
1954-11-30,-1.6817075753141824
1954-12-31,-1.6687846011549796
1955-01-31,-1.646216011200309
1955-02-28,-1.633740850957274
1955-03-31,-1.6105985857548522
1955-04-30,-1.5985573213378885
1955-05-31,-1.5827278241220324
1955-06-30,-1.5814142685278814
1955-07-31,-1.5736027314251493
1955-08-31,-1.5749012291638649
1955-09-30,-1.5684303351353943
1955-10-31,-1.5517965596723724
1955-11-30,-1.549260449401784
1955-12-31,-1.5454683030961622
1956-01-31,-1.5391845024264257
1956-02-29,-1.547994802141353
1956-03-31,-1.547994802141353
1956-04-30,-1.5404390409651487
1956-05-31,-1.549260449401784
1956-06-30,-1.5581603681705825
1956-07-31,-1.5892922067411426
1956-08-31,-1.549260449401784
1956-09-30,-1.5267295300612078
1956-10-31,-1.5181038085718948
1956-11-30,-1.5267295300612078
1956-12-31,-1.511989112019031
1957-01-31,-1.515651620429937
1957-02-28,-1.5059070696072083
1957-03-31,-1.5071205223897264
1957-04-30,-1.5205620247253828
1957-05-31,-1.5242607165266318
1957-06-30,-1.5217934025820539
1957-07-31,-1.515651620429937
1957-08-31,-1.515651620429937
1957-09-30,-1.5242561247894626
1957-10-31,-1.5391845024264257
1957-11-30,-1.5632797804530172
1957-12-31,-1.5827278241220324
1958-01-31,-1.6012217576627599
1958-02-28,-1.6227815440257187
1958-03-31,-1.6351198892839256
1958-04-30,-1.6518131960167817
1958-05-31,-1.642043752183015
1958-06-30,-1.615994359033346
1958-07-31,-1.6012217576627599
1958-08-31,-1.58141913036658
1958-09-30,-1.5723059175964942
1958-10-31,-1.5607191793872388
1958-11-30,-1.5316947698116807
1958-12-31,-1.5304511466864443
1959-01-31,-1.515651620429937
1959-02-28,-1.4962610243620003
1959-03-31,-1.4819554024689292
1959-04-30,-1.4608799857929549
1959-05-31,-1.4459254766272
1959-06-30,-1.4447840136061105
1959-07-31,-1.4690240087188866
1959-08-31,-1.5034890698744903
1959-09-30,-1.5046995902985254
1959-10-31,-1.511989112019031
1959-11-30,-1.5059070696072083
1959-12-31,-1.4459254766272
1960-01-31,-1.420008344180768
1960-02-29,-1.4289471972750019
1960-03-31,-1.4379666746945605
1960-04-30,-1.4459254766272
1960-05-31,-1.4470682440752152
1960-06-30,-1.4597213344367352
1960-07-31,-1.4631970039612325
1960-08-31,-1.4643596917592958
1960-09-30,-1.4748807960441077
1960-10-31,-1.4760571561546623
1960-11-30,-1.4902736089452793
1960-12-31,-1.5095518543116826
1961-01-31,-1.5083354494290222
1961-02-28,-1.5095518543116826
1961-03-31,-1.5034890698744903
1961-04-30,-1.4831401193214717
1961-05-31,-1.4678558882826973
1961-06-30,-1.4539481296056127
1961-07-31,-1.4425092202476268
1961-08-31,-1.433448863713355
1961-09-30,-1.4345732560097375
1961-10-31,-1.4155707632401031
1961-11-30,-1.4001864103478079
1961-12-31,-1.3914998863876626
1962-01-31,-1.4001864103478079
1962-02-28,-1.3839610853262183
1962-03-31,-1.3786079772003297
1962-04-30,-1.3764786927986608
1962-05-31,-1.3775447508432415
1962-06-30,-1.3796763088183153
1962-07-31,-1.3701100366993733
1962-08-31,-1.3690518709249344
1962-09-30,-1.3627262830205105
1962-10-31,-1.3616758976199586
1962-11-30,-1.3574892408835415
1962-12-31,-1.3574892408835415
1963-01-31,-1.3502016118720201
1963-02-28,-1.338853678519831
1963-03-31,-1.3327194715512958
1963-04-30,-1.3235862641870466
1963-05-31,-1.3115394554156687
1963-06-30,-1.3085484428952
1963-07-31,-1.3125384509327107
1963-08-31,-1.3105414568947578
1963-09-30,-1.3006232151721266
1963-10-31,-1.2937334115335593
1963-11-30,-1.2888446535564466
1963-12-31,-1.2907987439646795
1964-01-31,-1.2820388557611284
1964-02-29,-1.275279063918607
1964-03-31,-1.275279063918607
1964-04-30,-1.2590486822675107
1964-05-31,-1.2533836610851652
1964-06-30,-1.2505613937405282
1964-07-31,-1.2440103843574721
1964-08-31,-1.2375020115373185
1964-09-30,-1.2338033434846123
1964-10-31,-1.2477505516718315
1964-11-30,-1.2173181249740728
1964-12-31,-1.2055807630656308
1965-01-31,-1.1948677150772782
1965-02-28,-1.188667201608996
1965-03-31,-1.1755149315094517
1965-04-30,-1.1711700783603847
1965-05-31,-1.1633940393835966
1965-06-30,-1.1556780009226302
1965-07-31,-1.1463298782513696
1965-08-31,-1.142109734017238
1965-09-30,-1.1395842944394898
1965-10-31,-1.1295489296937042
1965-11-30,-1.1253988670754704
1965-12-31,-1.1130479837444405
1966-01-31,-1.1032771522452733
1966-02-28,-1.0968149049304625
1966-03-31,-1.08321936986063
1966-04-30,-1.0816312854705807
1966-05-31,-1.072161223062875
1966-06-30,-1.0674596116889623
1966-07-31,-1.0620017097225625
1966-08-31,-1.0612240226518046
1966-09-30,-1.0519415116710094
1966-10-31,-1.0450392947712226
1966-11-30,-1.0519443748797788
1966-12-31,-1.0496364274557266
1967-01-31,-1.044931247218821
1967-02-28,-1.0563375898339045
1967-03-31,-1.061990141171668
1967-04-30,-1.052603130771541
1967-05-31,-1.0613656380794523
1967-06-30,-1.0614899293663596
1967-07-31,-1.0637703792673752
1967-08-31,-1.0447919399736239
1967-09-30,-1.0464165016495737
1967-10-31,-1.038305835108886
1967-11-30,-1.0241042536930482
1967-12-31,-1.0133937678851264
1968-01-31,-1.0144687700559631
1968-02-29,-1.0108926625461188
1968-03-31,-1.007775736996383
1968-04-30,-1.006330325651205
1968-05-31,-0.9951743199198135
1968-06-30,-0.9915073953220765
1968-07-31,-0.9930421949732945
1968-08-31,-0.9902548682188966
1968-09-30,-0.9864744907575258
1968-10-31,-0.98449195251363
1968-11-30,-0.9716396074458684
1968-12-31,-0.9684870654578406
1969-01-31,-0.962455096474661
1969-02-28,-0.9560768048131666
1969-03-31,-0.9482665527533061
1969-04-30,-0.9519515888409249
1969-05-31,-0.9557386708412663
1969-06-30,-0.9460156729159857
1969-07-31,-0.9407524961120579
1969-08-31,-0.9384571006072803
1969-09-30,-0.9386820569590278
1969-10-31,-0.9383880900524719
1969-11-30,-0.9478588013418175
1969-12-31,-0.9505457943032626
1970-01-31,-0.9692380249426391
1970-02-28,-0.9698972259621674
1970-03-31,-0.971195804043488
1970-04-30,-0.9737715506221576
1970-05-31,-0.9749373113069623
1970-06-30,-0.978176773946702
1970-07-31,-0.9757249687299835
1970-08-31,-0.9775094363727663
1970-09-30,-0.9844250434577322
1970-10-31,-1.0046329940987804
1970-11-30,-1.0107085599427452
1970-12-31,-0.9880015794281555
1971-01-31,-0.9803387066825863
1971-02-28,-0.9822462564871188
1971-03-31,-0.9833310465557171
1971-04-30,-0.9777300604740532
1971-05-31,-0.9726679803150213
1971-06-30,-0.9684844315048697
1971-07-31,-0.9713912646046596
1971-08-31,-0.9772118038776048
1971-09-30,-0.9610893727821418
1971-10-31,-0.9536318126437013
1971-11-30,-0.9493977716717974
1971-12-31,-0.9379204773345954
1972-01-31,-0.9142353456284105
1972-02-29,-0.9042386508500138
1972-03-31,-0.8971795200211415
1972-04-30,-0.8873170522397711
1972-05-31,-0.887236911483418
1972-06-30,-0.8846370380723606
1972-07-31,-0.8855796811046288
1972-08-31,-0.8718600564821759
1972-09-30,-0.8642321054279122
1972-10-31,-0.8514257015465115
1972-11-30,-0.8397047610681098
1972-12-31,-0.8285317177681506
1973-01-31,-0.8212669567160893
1973-02-28,-0.8068199250485212
1973-03-31,-0.8064525061397889
1973-04-30,-0.807931965465613
1973-05-31,-0.8013428225040065
1973-06-30,-0.8001334615027077
1973-07-31,-0.7964631211199839
1973-08-31,-0.7978301480276181
1973-09-30,-0.7898519323278741
1973-10-31,-0.7818865952015357
1973-11-30,-0.7773856782624627
1973-12-31,-0.7801854670025403
1974-01-31,-0.7868053257252654
1974-02-28,-0.7896977293038674
1974-03-31,-0.7898629477395367
1974-04-30,-0.7929012196972528
1974-05-31,-0.7848568499880699
1974-06-30,-0.7866801405553716
1974-07-31,-0.7848327372544629
1974-08-31,-0.795377046264686
1974-09-30,-0.7952352786437301
1974-10-31,-0.7983677060168569
1974-11-30,-0.8318990332474985
1974-12-31,-0.8685201349058115
1975-01-31,-0.8824546823436923
1975-02-28,-0.9055560552352334
1975-03-31,-0.9164932523800483
1975-04-30,-0.9146420916286306
1975-05-31,-0.9174889494502021
1975-06-30,-0.9111813072439013
1975-07-31,-0.9009416342869362
1975-08-31,-0.8911006820505915
1975-09-30,-0.8782100914337914
1975-10-31,-0.8739427023378619
1975-11-30,-0.8725561829612983
1975-12-31,-0.8591380124948643
1976-01-31,-0.8458811976612023
1976-02-29,-0.8359349962758951
1976-03-31,-0.833798718507937
1976-04-30,-0.8288248748428935
1976-05-31,-0.8245779239509556
1976-06-30,-0.823501909840718
1976-07-31,-0.8179669158184574
1976-08-31,-0.8110909791379948
1976-09-30,-0.8077771922249243
1976-10-31,-0.8080934935213683
1976-11-30,-0.7928724927326855
1976-12-31,-0.7821489006052194
1977-01-31,-0.7890129146559819
1977-02-28,-0.7733620697225304
1977-03-31,-0.7607538703836342
1977-04-30,-0.7510305630084952
1977-05-31,-0.7433463368927974
1977-06-30,-0.7357311431012413
1977-07-31,-0.7344422036072223
1977-08-31,-0.7334151619071761
1977-09-30,-0.7294398645774397
1977-10-31,-0.7278421503568322
1977-11-30,-0.7260361416303032
1977-12-31,-0.7242684628379116
1978-01-31,-0.7389733417294364
1978-02-28,-0.733404751064075
1978-03-31,-0.7144545794572391
1978-04-30,-0.6947524683452012
1978-05-31,-0.6899483024305458
1978-06-30,-0.6835414635347477
1978-07-31,-0.684258799514541
1978-08-31,-0.6801697528227743
1978-09-30,-0.6778172861350447
1978-10-31,-0.6701164359123399
1978-11-30,-0.6624589193100535
1978-12-31,-0.6574847135394717
1979-01-31,-0.6628915337923138
1979-02-28,-0.6577916198013207
1979-03-31,-0.6548037752055593
1979-04-30,-0.6668168853139154
1979-05-31,-0.6579306272114117
1979-06-30,-0.6578553291323459
1979-07-31,-0.6594725879708624
1979-08-31,-0.6659873701043315
1979-09-30,-0.6660360315733141
1979-10-31,-0.6591941635419608
1979-11-30,-0.6608310182834986
1979-12-31,-0.660170923503993
1980-01-31,-0.6548018504426178
1980-02-29,-0.6543515577447607
1980-03-31,-0.6586201578653834
1980-04-30,-0.6785167294657991
1980-05-31,-0.7033995570242967
1980-06-30,-0.716405572137147
1980-07-31,-0.723612573630795
1980-08-31,-0.720407386599027
1980-09-30,-0.7038502546532326
1980-10-31,-0.6912549719164158
1980-11-30,-0.6746964470526793
1980-12-31,-0.6681736318260718
1981-01-31,-0.6744176778756772
1981-02-28,-0.6785896573529626
1981-03-31,-0.6734975061369306
1981-04-30,-0.6777069960720674
1981-05-31,-0.6720375646084088
1981-06-30,-0.6667876653410879
1981-07-31,-0.6603973585369757
1981-08-31,-0.6615535567687975
1981-09-30,-0.66645267066476
1981-10-31,-0.6741664595636814
1981-11-30,-0.685905465190985
1981-12-31,-0.6967918141755615
1982-01-31,-0.717482906841812
1982-02-28,-0.6972716746036134
1982-03-31,-0.7040261424574842
1982-04-30,-0.7132029598963991
1982-05-31,-0.7199347861163972
1982-06-30,-0.7225162607998469
1982-07-31,-0.7259617370221435
1982-08-31,-0.735021812241687
1982-09-30,-0.7376049431487792
1982-10-31,-0.7472739591592791
1982-11-30,-0.7504627832239982
1982-12-31,-0.7575854400572161
1983-01-31,-0.7392099674065203
1983-02-28,-0.7453925069335351
1983-03-31,-0.7370656308216185
1983-04-30,-0.7246151440906745
1983-05-31,-0.7183788384091109
1983-06-30,-0.7123381549539058
1983-07-31,-0.6976111291696745
1983-08-31,-0.6857208243318209
1983-09-30,-0.6714248284876296
1983-10-31,-0.6636019706437858
1983-11-30,-0.659190297081763
1983-12-31,-0.6541457222104727
1984-01-31,-0.6345481382570097
1984-02-29,-0.6298888535212671
1984-03-31,-0.625217540770211
1984-04-30,-0.6193039577349486
1984-05-31,-0.6139589917298165
1984-06-30,-0.6104010534967365
1984-07-31,-0.607622908763329
1984-08-31,-0.6064191770501212
1984-09-30,-0.6092197206246593
1984-10-31,-0.6096740558085939
1984-11-30,-0.6063384907766464
1984-12-31,-0.6058545098037836
1985-01-31,-0.6063421581932996
1985-02-28,-0.6032717422456659
1985-03-31,-0.6019563828624778
1985-04-30,-0.6039245834538054
1985-05-31,-0.6024439601517665
1985-06-30,-0.6029208105366644
1985-07-31,-0.6081059096221026
1985-08-31,-0.6047883784221053
1985-09-30,-0.6011150951134516
1985-10-31,-0.6045796816230129
1985-11-30,-0.6011588757142744
1985-12-31,-0.5913201001383068
1986-01-31,-0.5860683420647653
1986-02-28,-0.5929399201429196
1986-03-31,-0.5999701834637952
1986-04-30,-0.598826581137907
1986-05-31,-0.5968647462754927
1986-06-30,-0.6008050373855146
1986-07-31,-0.5947218578554752
1986-08-31,-0.5963980365613663
1986-09-30,-0.5936331221757155
1986-10-31,-0.5894270095320521
1986-11-30,-0.5854521919058302
1986-12-31,-0.5760399287495926
1987-01-31,-0.5797970669111022
1987-02-28,-0.5666237866962371
1987-03-31,-0.565220213430267
1987-04-30,-0.5586967104165866
1987-05-31,-0.5525195260651611
1987-06-30,-0.5471387015244048
1987-07-31,-0.5404243768055575
1987-08-31,-0.5329195741390704
1987-09-30,-0.5290965247540935
1987-10-31,-0.5156991467773859
1987-11-30,-0.5107889577715297
1987-12-31,-0.5052810235106403
1988-01-31,-0.5055296721068081
1988-02-29,-0.5005304678833583
1988-03-31,-0.49825332074678713
1988-04-30,-0.4924226683641223
1988-05-31,-0.49437501343547474
1988-06-30,-0.4915182171105292
1988-07-31,-0.49143321131537127
1988-08-31,-0.4863753169520571
1988-09-30,-0.48964486156678505
1988-10-31,-0.48516599920764275
1988-11-30,-0.4826788211631536
1988-12-31,-0.478063220673756
1989-01-31,-0.47515447208971145
1989-02-28,-0.4795304657852806
1989-03-31,-0.47708141780183005
1989-04-30,-0.477352163708452
1989-05-31,-0.4829705373966375
1989-06-30,-0.4830240279381448
1989-07-31,-0.4926943270054378
1989-08-31,-0.48296891651580237
1989-09-30,-0.48639483406612716
1989-10-31,-0.48758935568351186
1989-11-30,-0.48422913364426345
1989-12-31,-0.4786246839780028
1990-01-31,-0.4837942847149603
1990-02-28,-0.4746415678749843
1990-03-31,-0.46989483516402636
1990-04-30,-0.472250952586226
1990-05-31,-0.469245516685695
1990-06-30,-0.4659462714652561
1990-07-31,-0.46761129316506067
1990-08-31,-0.46400406269140326
1990-09-30,-0.46368761730858693
1990-10-31,-0.46990763385344075
1990-11-30,-0.48244712946437596
1990-12-31,-0.4894898586010231
1991-01-31,-0.4927712558111397
1991-02-28,-0.5000142775543407
1991-03-31,-0.5057236609406234
1991-04-30,-0.5030922700437042
1991-05-31,-0.49319692637147905
1991-06-30,-0.4851400084311181
1991-07-31,-0.4825135530638954
1991-08-31,-0.4823029568327894
1991-09-30,-0.4740694836408711
1991-10-31,-0.475096576311745
1991-11-30,-0.4764515726246541
1991-12-31,-0.48109207951116784
1992-01-31,-0.48629887858939463
1992-02-29,-0.4791670857657293
1992-03-31,-0.4708199623549593
1992-04-30,-0.46312811982444607
1992-05-31,-0.45988064003155343
1992-06-30,-0.4592836936242046
1992-07-31,-0.4503453260892737
1992-08-31,-0.4558372479415035
