CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,
35,Colombia,Colombia,Americas,37,4,69.7,63.8,25.2,39.6,80.1,74.2,89.8,77.1,77.9,77.0,81.6,80,70,4.2,33.0,25.0,16.7,29.6,Colombia,48.2,$667.4 ,3.1,4.6,"$13,847",10.0,5.0,"12,107.6",49.4,,
36,Comoros,Comoros,Sub-Saharan Africa,121,22,55.8,37.3,22.6,30.0,64.6,81.2,98.6,58.5,50.6,81.5,70.2,45,30,7.4,30.0,50.0,11.8,25.5,Comoros,0.8,$1.2 ,1.0,2.3,"$1,519",19.6,2.0,5.1,26.7,,
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,117,18,56.4,40.6,48.7,28.6,73.4,94.7,99.3,59.9,38.4,78.6,64.6,30,20,10.2,30.0,40.0,12.5,14.2,"Congo, Democratic Republic of the Congo",81.7,$62.9 ,7.7,7.9,$770,3.8,1.0,"1,673.5",18.8,,
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,177,47,40.0,34.8,22.6,30.5,66.8,36.2,11.6,32.1,37.5,76.1,52.2,50,30,16.4,45.0,34.0,11.7,39.6,"Congo, Republic of",4.4,$29.4 ,2.5,4.0,"$6,722",7.2,2.0,"1,486.2",64.9,,
39,Costa Rica,CostaRica,Americas,63,10,65.0,51.6,55.6,55.4,79.4,88.5,42.4,68.1,53.9,80.8,84.7,70,50,2.7,25.0,30.0,23.1,20.0,Costa Rica,4.8,$74.9 ,3.7,3.6,"$15,482",8.6,0.8,"2,849.6",42.4,,
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,75,4,63.0,42.6,45.8,34.3,78.4,84.6,87.0,62.1,50.6,73.2,72.3,75,50,6.3,36.0,25.0,15.5,22.7,Côte d'Ivoire,23.3,$78.6 ,8.6,6.3,"$3,316",9.5,1.2,430.2,34.7,,
41,Croatia,Croatia,Europe,95,37,59.4,65.5,56.8,43.4,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75,60,1.3,40.0,20.0,36.4,47.6,Croatia,4.2,$91.1 ,1.6,-0.4,"$21,581",16.1,-0.5,173.9,87.7,,
42,Cuba,Cuba,Americas,178,31,33.9,32.4,10.0,41.8,51.3,0.0,81.2,20.0,20.0,66.0,64.5,10,10,7.7,50.0,30.0,38.3,64.6,Cuba,11.2,$141.50 ,4.3,2.8,"$12,580 ",n/a,4.6,n/a,35,,
43,Cyprus,Cyprus,Europe,48,24,67.9,75.4,60.7,53.6,73.0,48.8,72.9,75.8,58.6,83.3,87.0,75,50,1.5,35.0,12.5,36.3,41.2,Cyprus,0.9,$28.1 ,1.6,-1.8,"$32,786",15.6,-1.5,"4,534.1",108.7,,
44,Czech Republic,CzechRepublic,Europe,28,16,73.3,70.3,55.9,55.9,82.9,45.3,92.0,67.2,77.7,85.8,87.0,80,80,1.5,15.0,19.0,33.5,42.9,Czech Republic,10.5,$332.5 ,4.2,1.3,"$31,550",5.2,0.3,"1,223.1",40.9,,
