"Index","Output","Consumption","Investment","Market investment","Home investment","Hours","Productivity","Capital stock","Capital stock: market","Capital stock: home","Solow residual","Relative price of investment","Tax rate: capital income","Tax rate: labor income","Return to business capital, pre-tax","Return to business capital, pre-tax, no capital gain","Return to business capital, after--tax","Return to business capital, after-tax, no capital gain","Return to all capital, pre-tax","Return to all capital, pre-tax, no capital gain","Return to all capital, after--tax","Return to all capital, after-tax, no capital gain","Return to housing capital, pre-tax","Return to housing capital, pre-tax, no capital gain","Return to housing capital, after--tax","Return to housing capital, after-tax, no capital gain"
"1995-07-01",51.9409591639558,26.3739411851318,13.0953345046681,5.64936155290403,7.44597295176411,0.855749546042141,60.6964495677314,134.229620232234,59.8957925401121,74.3338276921221,57.1899863295148,1.46837049275338,0.329637775056167,0.289785621784252,10.3713761232599,11.3972141314052,6.53899855880766,7.5380348883213,7.81528989474081,8.8232783727952,5.25394779775818,6.24394334541103,4.66718822118375,5.65304652304826,3.6559954829728,4.63471018658745
"1995-10-01",52.1351085471189,26.4528747180208,13.2185287958117,5.69577389515891,7.52275490065282,0.856310874417905,60.8833895547091,134.640883385565,60.1053978004217,74.5354855851431,57.3476060311449,1.45722065531458,0.326336534140659,0.290690033731951,8.06790882157278,11.3233810712385,4.3561646811112,7.52772183390682,5.60546146877676,8.80534538350319,3.10820385508479,6.25137913059992,2.56381372556014,5.6945810836079,1.55217891878323,4.65984459650095
"1996-01-01",52.2975709460795,26.6133154215047,13.3413173552449,5.74756689177794,7.59375046346698,0.856294049335255,61.0743131832789,135.211698032213,60.3776905783303,74.8340074538822,57.502356181608,1.44354873985817,0.32484155151167,0.293705696118532,7.59033530727777,11.6100063088078,3.81937746822318,7.73339765719243,5.01266446734563,8.96022007917328,2.47503481155433,6.35115765420675,1.8299861771137,5.6878804573673,0.799225757713917,4.6279309428795
"1996-04-01",52.8763565474663,26.7985698410925,13.5624825828858,5.80545643667144,7.75702614621431,0.862320625526348,61.318673103976,135.386569088615,60.4059523240252,74.98061676459,57.9072919799232,1.42543498082484,0.330235631600978,0.297053312131705,6.47485210934164,11.8341901769501,2.60263089307695,7.81601180186142,3.8116108759102,9.07070969555632,1.21564630833146,6.37640969734405,0.529533515631964,5.66420070487841,-0.510765155190962,4.58424822574079
"1996-07-01",53.1490617886116,26.929215451491,13.6871915353198,5.94868206492534,7.73850947039442,0.866747766571681,61.3201023855377,135.738454833225,60.4715110338327,75.2669437993921,58.0362179286809,1.41818322293185,0.328429244616248,0.295322111002813,9.67457635589239,11.871791122361,5.72452417026466,7.8622630136437,6.93085948969601,9.08682042779716,4.28796282893531,6.40393362953386,3.5587644623948,5.66365701087028,2.50481279380148,4.59365860402527
"1996-10-01",53.3792133402171,27.0163671706678,13.719506471669,6.01257059236297,7.70693587930599,0.871802466030855,61.2285642907644,136.164525045165,60.6629692037293,75.5015558414356,58.0366485156306,1.40334867629593,0.322185567194619,0.296060428639692,7.71522871075907,12.2077772276889,3.78928987611342,8.15909043930654,4.84801358726044,9.25102983730199,2.23024057472774,6.55097224897969,1.34152406260359,5.6342001144114,0.304319987310131,4.56417413040566
"1997-01-01",53.5022292795248,27.1292600547365,13.7926077037322,6.02285918743333,7.76974851629882,0.87496932575961,61.1475484961448,136.363376344469,60.792759571478,75.570616772991,57.9794073298499,1.39367048268371,0.320353651848352,0.299329245333805,9.37221572134741,12.352513406496,5.37890968338317,8.27749212582063,6.40720027738388,9.32689809004525,3.73931777040462,6.60412444605016,2.79134109114076,5.63655809167991,1.71971500285888,4.54273229705231
"1997-04-01",54.1902646623578,27.2010594176222,13.795433385354,6.09065969878232,7.7047736865717,0.879634711900951,61.6054186234294,136.767577461763,60.9568061607828,75.81077130098,58.6236693953128,1.38684376826547,0.320580832072764,0.299508536774163,10.2942633769545,12.418186824612,6.25262025748106,8.31803882333051,7.29040730756352,9.37090092875474,4.59080945230592,6.63201097529096,3.62690548368263,5.65401608016143,2.5436002127339,4.5548350404861
"1997-07-01",54.7669140416354,27.5107718798433,14.2341234645168,6.34510620078823,7.88901726372855,0.884771348959187,61.8995112195498,137.113665431605,61.1649469969391,75.9487184346664,59.1198916758727,1.38019112146392,0.318596277154938,0.300571019458989,10.8325722648954,12.9198099417358,6.64739037300388,8.67536934527393,7.61109065496994,9.65276581655297,4.82991353966506,6.83197739800765,3.6967209050369,5.68256965902056,2.59837636125955,4.56846612902055
"1997-10-01",54.9545421259247,27.6599396260427,14.2619322149379,6.2791620991078,7.98277011583014,0.889046527820911,61.8128977575792,137.885313532176,61.6056831182843,76.2796304138918,59.0420387777728,1.3685107319069,0.312374679021488,0.301249881323472,9.17230850853954,12.8329074024966,5.13985678314319,8.69898984146111,6.03041999955141,9.61204487540683,3.33415193454882,6.84753250390417,2.21810249940302,5.70310416662458,1.12099796357865,4.57802622396573
