ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting

a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,RGDP Per Capita
BRN,2015,Brunei Darussalam,6.77,85.0,3.0,0.0,55.88,,,,,10.0,0,10.0,7,10.0,5.0,5.098039309,3.4917328760000004,5.450450579,8.333333332999999,8.333333332999999,4.1711035260000004,4.802773258,6.147185961,6.712962786,0.794871795,5.239122575,9.68667102,1.5666448990000001,4.418614195,13.95346451,9.804,-0.98,10.0,8.477321304,,,9.76,1.2,8.728,3.18,9.244,4.941520294,2.218934911,3.580227602,10.0,4.9135472380000005,6.153846154,4.314400011,5.127264468,6.987873017999999,,6.604,10.0,8.302,10.0,4.545454582,7.61904796,10.0,10,10.0,8.694083757000001,3.8528140389999996,6.8888888889999995,9.518953142,5.455251336,9.693027637,9.142486525,7.4252369279999995,8.140440228,
BGR,2015,Bulgaria,7.39,48.0,2.0,5.732352941,20.51,5.826527639,15.81664356,8.0,15.41,10.0,10,7.0,34,8.5,7.014720145,3.3706517989999996,3.612746527,4.47645594,8.333333332999999,5.0,4.767973315,8.838845799,4.2105261480000005,4.999986712,0.846153846,4.883130213,8.304471673,8.477641636,9.13676476,2.158088099,9.979025533,-0.10487233300000001,10.0,9.355065492,9.100559738,1.349160394,8.98,5.1,7.0012,7.497000000000001,8.360586579,5.403871099,9.839054187,7.621462642999999,10.0,5.100641855,6.923076922999999,7.633169251,6.55229601,8.133586308,10.0,8.78,10.0,9.593333333,5.566666667000001,4.755670783,6.6931847939999995,6.0,9.251725385,10.0,7.044541271,4.1562955839999995,5.555555556,9.249963961,3.596742323,9.19998394,4.92217511,6.113452746,7.583775782999999,17254.0
BFA,2015,Burkina Faso,5.87,132.0,4.0,3.75,27.25,10.0,0.396039604,2.0,40.93,9.0,25,4.0,42,6.5,5.5625,1.853980189,3.594626659,4.163926422,3.333333333,5.0,2.139195153,4.7563451169999995,5.077216989,4.677293378,0.871794872,3.5975811380000002,8.994412679,5.027936607,9.440091982,1.399770045,9.809001337,0.954993317,0.0,7.060876499,7.606666667000001,3.59,7.56,12.2,7.0232,7.442,7.396622222,5.486452037,3.589965546,4.538208791000001,10.0,5.572018732,0.7692307690000001,7.190666685,4.510638729,6.611367436,10.0,0.0,10.0,6.666666667,6.666666667,5.150893315,7.190212066,6.0,7.942244808,10.0,7.158336143,4.330187856,2.0,9.104941784,3.143192098,8.936966975,6.973481854,5.748128427999999,6.524377079,1527.0
BDI,2015,Burundi,6.1,125.0,4.0,6.073529412,19.35,10.0,0.466372116,2.0,47.2,8.0,30,5.0,38,6.5,6.143382353,1.208295064,3.1004126339999996,2.9342568030000002,1.7,,2.65461566,8.513441578,2.003361677,3.888661056,0.9024390240000001,3.09182541,8.868192914,5.659035427999999,8.355545588,4.111136029,8.889159166,5.554204167999999,5.0,7.778224417000001,8.066666667,2.9,7.44,12.8,5.1872,12.032,6.897955556,3.940040365,1.140264513,2.540152439,10.0,3.399622299,1.5384615380000002,10.0,4.979361279,6.1043673179999995,5.0,10.0,10.0,8.333333332999999,10.0,3.6723098519999997,7.917334678,8.0,7.755176154,10.0,7.890803447000001,3.3709821580000003,2.666666667,9.725921799,2.885413414,9.286105095,7.399436259,5.889087565,7.371074782000001,723.0
KHM,2015,Cambodia,7.2,63.0,2.0,9.832352941,6.57,9.640676122999999,1.81871863,2.0,47.58,10.0,20,10.0,20,10.0,7.8682572660000005,2.9685109069999998,3.01074111,4.735173552,6.0,,1.824541681,7.52818438,3.3597882589999997,5.41300942,1.0,4.354993663999999,7.769421997999999,11.15289001,9.656484459,0.858788854,9.755745988,1.221270061,10.0,9.295413111,8.12,2.82,7.76,11.2,6.4608,8.847999999999999,7.446933333,5.3521373489999995,3.988193662,4.670165506,10.0,5.991393137999999,5.384615385,10.0,7.125336174,7.3106087529999995,,10.0,,10.0,6.666666667,5.528621958,5.745391842,10.0,6.299740913,5.0,6.54007023,4.165248255,2.888888889,6.15574169,3.3268220439999996,4.989503189,8.060786521,4.931165098,7.157078443,3139.0
CMR,2015,Cameroon,5.92,127.0,4.0,7.9117647060000005,13.1,9.567100156,2.0887424269999997,10.0,10.47,5.0,39,4.0,41,4.5,7.994716215,3.363429612,4.226160245,5.131341755,5.0,3.333333333,2.168525641,3.3746655760000004,5.561403433,4.8249238210000005,0.585365854,3.257379298,9.351748714,3.241256431,9.570885342999999,1.072786643,9.462803446,2.685982772,0.0,7.0963593760000006,3.84,9.24,6.36,18.2,6.2872,9.282,5.4957333329999996,3.916418088,0.0,1.958209044,10.0,5.79216713,0.833333333,0.553128207,2.392876223,4.96170465,5.0,6.414,9.0,6.804666667,7.233333332999999,5.086262976,6.495046575,8.0,7.006901538,10.0,7.303590737,3.966693157,1.111111111,8.714378586,2.9664896310000004,8.692099925,2.938124325,4.731482789,6.279913398,2754.0
CAN,2015,Canada,7.93,12.0,1.0,3.847058824,26.92,7.613063825,9.260055762999999,8.0,16.11081091,4.0,40-55,4.0,40-55,4.0,5.865030662000001,8.543687478999999,6.508702596,8.171232886,10.0,9.166666667000001,3.645024073,8.669157746,8.778626124,7.173023481,1.0,7.8506801170000005,9.099447051,4.502764745,9.45564392,1.3608902,9.774951728,1.125241361,10.0,9.582510675,9.733333333,0.4,9.16,4.2,1.936,20.16,6.943111111,5.751871684,9.889941295,7.8209064889999995,10.0,6.969496672999999,7.692307692000001,5.531282066,6.73102881,7.873761602999999,10.0,9.176,10.0,9.725333333,8.9,6.34626977,7.332247075,8.0,8.273212426,10.0,8.141954878,4.613382982,9.333333332999999,9.947773416,6.539352756,6.855453692,8.531578233,7.636812402,8.501366871,42844.0
CPV,2015,Cape Verde,6.67,93.0,3.0,5.170946632,22.41878145,9.359980869,2.84887021,0.0,51.32,8.0,28,4.0,44,6.0,5.132731875,5.521049698,3.861753295,5.4180301029999995,8.4,,6.058581632999999,8.828180929,5.443038146,5.087904274,1.0,6.07731726,9.292517217,3.537413917,9.166674118,2.083314706,9.973484056,0.13257972199999998,5.0,8.358168847,7.253333333,4.12,8.0,10.0,4.84,12.9,6.697777778,5.043452362,5.381086542,5.212269452,10.0,5.851293981,3.0,10.0,6.28376466,7.048452973,,8.476,10.0,9.238,3.9,4.292762876,6.805358569,8.0,2.517253846,1.0,4.419229215,4.368131697,3.777777778,9.493402502999999,4.695936014,8.628627189,7.982321236000001,6.491032736,6.716087317,6358.0
CAF,2015,Central Afr. Rep.,4.62,158.0,4.0,9.676470587999999,7.1,9.58009584,2.041048268,4.0,33.51,3.0,50,,,3.0,6.564141607000001,,2.5,,0.8,,0.508171469,4.933862454,,,0.692307692,1.8492764069999998,8.555232804,7.223835982000001,8.242215211,4.3944619739999995,2.392,38.04,0.0,4.797362004,0.8866666670000001,13.67,6.4,18.0,6.184,9.54,4.490222222,,2.6373074880000003,2.6373074880000003,10.0,,1.5384615380000002,1.4381333369999998,1.488297438,4.653956787,5.0,9.585,9.0,7.861666667000001,0.0,,,6.0,7.006901538,0.0,3.251725385,,1.111111111,5.27118899,,7.649055057000001,4.585895316,4.6543126180000005,5.255901557,605.0
TCD,2015,Chad,5.27,151.0,4.0,9.835294118,6.56,9.918256131,0.8,7.0,20.96,1.0,60,1.0,60,1.0,6.938387562000001,2.0042480190000003,3.094967001,3.3447307810000004,3.7,,2.223210769,4.9609297130000005,3.120915095,3.328550849,0.7179487179999999,2.76778205,8.855373236,5.723133822,7.286450433,6.783873917,9.926,-0.37,0.0,6.516955917000001,,,6.42,17.9,6.2052,9.487,6.3126,3.436857058,0.774586216,2.105721637,10.0,3.6308667889999997,1.5384615380000002,1.4381333369999998,2.202487222,5.155202215,2.0,6.575,9.0,5.858333332999999,5.0,3.898970994,6.32577223,6.0,7.942244808,3.0,5.361164672,3.594379235,1.111111111,6.326956098999999,1.996430308,7.29994292,1.413655926,3.623745933,4.947747979,2387.0
