State,Year,EFW,GDP,Population,GDP Per Capita,Log GDP,GDP % Growth,Log Population,Population % Growth,Log GDP Per Capita,GDP Per Capita % Growth,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,TotalTax,TotalTax/GDP
VT,1990,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,1990,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,1990,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,1990,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,1990,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1990,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,1995,8.48,,,,,,,,,,118.202,1364.911,103.674,0.107,153.661,457.582,4.693,377.803,69.194,113.78,2.417,0.0,125.569,17.011,182.439,16.434,7.815,128.876,0.137,1482.662,236.279,34.705,16.55,63.326,0.0,5157.703,
AK,1995,8.21,,,,,,,,,,57.294,0.0,11.969,2.032,27.949,39.601,0.0,2.401,17.087,0.0,1.152,0.103,1.095,17.145,24.496,2.564,0.311,28.029,0.183,0.0,528.005,1.158,0.0,1159.882,0.007,1937.2530000000002,
AZ,1995,8.46,,,,,,,,,,331.09,2771.856,42.034,0.902,128.889,451.089,8.452,87.38,109.189,0.0,3.233,0.017,4.524,15.297,246.154,10.141,0.0,39.317,24.924,1482.749,417.481,48.771,0.0,0.0,0.0,6305.759,
AR,1995,8.41,,,,,,,,,,6.395,1301.937,26.844,0.717,69.547,330.11,10.853,0.0,94.911,53.915,1.503,1.003,9.452,13.545,91.764,12.825,8.447,54.708,3.71,1047.119,191.6,21.667,10.642,12.865,15.706,3435.519,
CA,1995,8.32,,,,,,,,,,3176.874,17687.262,273.674,0.0,1022.496,2703.674,109.023,43.671,715.659,65.082,24.102,0.117,19.276,66.334,1454.043,112.596,78.092,1109.449,6.924,18344.342,5747.929,466.214,0.0,42.242,0.0,54003.234,
CO,1995,8.43,,,,,,,,,,6.614,1230.748,23.652,1.264,114.99,418.494,8.082,5.543,65.587,44.233,3.596,2.028,4.012,55.24,123.295,12.981,0.0,59.91,6.824,2101.708,190.026,27.628,0.0,24.648,0.263,4616.71,
CT,1995,8.36,,,,,,,,,,0.012,2368.0,36.874,144.538,167.621,417.102,16.742,148.177,123.331,286.41,5.604,0.318,9.611,4.364,198.301,26.176,0.0,66.578,5.587,2474.355,698.918,212.853,62.647,0.0,0.0,7572.523000000001,
DE,1995,8.32,,,,,,,,,,0.0,0.0,11.494,0.0,51.134,91.976,0.166,22.933,21.877,46.233,0.869,0.069,332.004,0.903,32.206,0.124,4.127,151.034,3.962,562.371,193.649,27.971,39.079,0.0,0.637,1611.793,
FL,1995,8.51,,,,,,,,,,706.021,10656.548,514.488,0.398,419.306,1337.144,86.74,506.841,451.514,353.967,31.895,7.82,121.887,14.453,751.821,96.635,24.396,241.05,9.759,0.0,944.969,409.253,804.804,72.941,0.0,18880.911,
GA,1995,8.42,,,,,,,,,,32.893,3538.675,115.344,0.0,195.823,518.143,0.0,0.0,92.175,0.0,7.314,0.0,28.903,20.01,207.837,36.279,0.0,65.387,36.654,3841.595,653.296,74.762,0.775,0.0,20.774,9636.342999999999,
HI,1995,8.31,,,,,,,,,,0.0,1363.262,38.362,0.0,65.327,75.529,0.0,100.505,35.386,116.6,0.0,0.0,1.642,0.283,61.277,0.382,7.207,12.537,0.339,925.714,47.296,16.438,6.41,0.0,0.0,2904.0199999999995,
ID,1995,8.39,,,,,,,,,,0.111,575.752,4.897,0.0,51.755,153.193,1.599,1.687,19.166,6.121,1.032,0.0,0.705,22.631,54.158,4.838,29.944,32.211,3.741,599.724,129.47,7.35,0.0,2.538,30.497,1755.1399999999999,
