DATE,PPI: Lumber and Wood Products Annual % Change,PPI: Copper and Copper Products Annual % Change,PPI: Gas and Oil Extraction Annual % Change
2017-05-31,7.4311023622047445,11.749842072015149,25.088028169014077
2017-06-30,6.139489194499026,14.211886304909548,12.469437652811743
2017-07-31,5.908203125,14.227514885615777,4.961832061068705
2017-08-31,7.658749394086284,18.837863167760062,13.596138374899436
2017-09-30,7.448880233690347,26.89611217335881,12.191358024691358
2017-10-31,9.126403123474859,24.097135740971364,4.795486600846255
2017-11-30,10.368550368550356,18.81275841701122,21.340523882896754
2017-12-31,10.093549975381588,12.859560067681874,5.012853470437029
2018-01-31,10.930576070901044,16.35024086143384,2.7092113184828515
2018-02-28,12.803426939552587,12.599070784367328,7.682698313554037
2018-03-31,13.456090651558084,12.991689750692515,15.21418020679468
2018-04-30,10.421491431218154,13.184979137691233,9.718498659517415
2018-05-31,14.200641319285378,14.895421141888065,22.730471498944404
2018-06-30,17.769551133734396,17.760180995475096,24.782608695652165
2018-07-31,14.338404794836324,9.026063100137161,32.65454545454547
2018-08-31,4.322377307519143,0.49947423764460375,24.008498583569416
2018-09-30,3.307657453556878,-7.182320441988943,25.65337001375514
2018-10-31,-4.203935599284437,-5.594581033617663,25.168236877523565
2018-11-30,-6.8566340160284955,-6.68655232413623,5.650793650793662
2018-12-31,-5.545617173524153,-6.09695152423787,7.221542227662159
2019-01-31,-6.790945406125171,-9.620068192888453,-8.558030480656509
2019-02-28,-8.945147679324894,-7.791262135922339,-14.095127610208824
2019-03-31,-11.15272575946734,-5.197352292228485,-5.128205128205132
2019-04-30,-10.82214765100672,-3.022855738510677,-9.040928527794733
2019-05-31,-15.443241075010029,-5.4858548585485885,-18.405963302752294
2019-06-30,-19.214145383104132,-10.902977905859746,-25.203252032520318
2019-07-31,-15.362903225806445,-5.963764469048815,-27.631578947368418
2019-08-31,-9.840310746655145,-4.812974104106726,-27.298686464877207
2019-09-30,-7.499999999999996,-1.0281385281385336,-28.18828680897647
2019-10-31,-2.614379084967322,-3.5078394897687937,-32.47311827956989
2019-11-30,-0.4302103250477862,-2.051145444858815,-16.88701923076923
2019-12-31,-0.5681818181818121,-1.0111761575306022,-20.662100456621
2020-01-31,-0.19047619047619646,1.509027216383707,-16.025641025641026
2020-02-29,-0.2780352177942591,-5.21189786785995,-24.577987846049965
