DATE,M2 Annual % Change,Personal Savings Rate
2010-01-31,2.3383075567145806,5.9
2010-02-28,2.4220805871417728,5.6
2010-03-31,1.6539932529799906,5.6
2010-04-30,1.9244315793835565,6.2
2010-05-31,1.8551533687680033,6.7
2010-06-30,2.018258799878625,6.5
2010-07-31,1.984593017205749,6.4
2010-08-31,2.5897550302663275,6.5
2010-09-30,3.0246354712665457,6.5
2010-10-31,3.346724984188354,6.3
2010-11-30,3.214259624516047,6.1
2010-12-31,3.5838749038048068,6.5
2011-01-31,4.411614634793759,6.9
2011-02-28,4.709275944772129,7.2
2011-03-31,5.0468250075901055,6.6
2011-04-30,5.25774752590249,6.6
2011-05-31,5.133031074790306,6.5
2011-06-30,5.736195428007096,6.7
2011-07-31,7.6987662383095845,6.9
2011-08-31,9.804240790572273,6.9
2011-09-30,9.792386943098673,6.5
2011-10-31,9.6614260102055,6.5
2011-11-30,9.936324055534396,6.6
2011-12-31,9.681611068895268,7.5
2012-01-31,10.350134232434538,7.8
2012-02-29,10.065648592902775,7.8
2012-03-31,9.931914184081814,8.2
2012-04-30,9.746464574010826,8.5
2012-05-31,9.596455928710391,8.6
2012-06-30,9.317945815866246,8.6
2012-07-31,8.252198016371448,7.8
2012-08-31,6.551113906998629,7.6
2012-09-30,6.879283425529259,8.1
2012-10-31,7.167156089064397,8.7
2012-11-30,7.354055906296719,9.5
2012-12-31,8.277144490746235,11.6
2013-01-31,7.651382196401091,5.9
2013-02-28,7.041324511438107,5.6
2013-03-31,7.106797883608573,5.9
2013-04-30,7.244601842522824,6.2
2013-05-31,7.0019634037729706,6.4
2013-06-30,6.862895382937473,6.5
2013-07-31,6.77273063712398,6.3
2013-08-31,6.631531081574704,6.4
2013-09-30,6.3864904479781215,6.5
2013-10-31,6.885174080311063,6.0
2013-11-30,6.037795161348836,5.8
2013-12-31,5.481099492878405,6.0
2014-01-31,5.657196393243047,6.7
2014-02-28,6.375122405598432,6.6
2014-03-31,6.336300897821978,6.7
2014-04-30,6.280366488710376,6.9
2014-05-31,6.522253172099712,7.1
2014-06-30,6.591980660651342,7.1
2014-07-31,6.687113460972771,7.2
2014-08-31,6.419048817488449,7.0
2014-09-30,6.110684017968793,7.2
2014-10-31,5.586561510732091,7.1
2014-11-30,5.747136921512208,7.3
2014-12-31,5.860885158185103,7.7
2015-01-31,5.857967524502916,8.0
2015-02-28,6.1432657808353275,8.1
2015-03-31,6.0333148073505205,7.7
2015-04-30,6.040823528114414,7.6
2015-05-31,5.630548137690372,7.5
2015-06-30,5.45800469114841,7.4
2015-07-31,5.485261706779543,7.3
2015-08-31,5.631181912738814,7.3
2015-09-30,5.933098468607501,7.4
2015-10-31,5.326071886589756,7.5
2015-11-30,5.97072346004881,7.3
2015-12-31,5.824189213830078,7.4
2016-01-31,6.1409886811065295,7.7
2016-02-29,5.785342141501837,7.2
2016-03-31,6.137936635792274,7.6
2016-04-30,6.39510820394964,7.2
2016-05-31,6.7678741798955055,6.9
2016-06-30,6.971853850221943,6.6
2016-07-31,6.874198811327359,6.8
2016-08-31,7.218373801180444,6.8
2016-09-30,7.226051524602539,6.8
2016-10-31,7.540980909169437,6.9
2016-11-30,7.380456618923126,7.0
2016-12-31,6.972203378912889,6.5
2017-01-31,6.509737625914114,6.9
2017-02-28,6.384055119369836,7.2
2017-03-31,6.352123981595259,7.2
2017-04-30,6.263671603919829,7.2
2017-05-31,6.029691028132156,7.8
2017-06-30,5.767718922217058,7.5
2017-07-31,5.759966041564035,7.6
2017-08-31,5.597704616288879,7.6
2017-09-30,5.279760852692328,7.3
2017-10-31,5.151143772099331,7.4
2017-11-30,4.754288183356659,7.0
2017-12-31,4.844154573372683,6.6
2018-01-31,4.448867585596816,7.4
2018-02-28,4.059441486112325,7.6
2018-03-31,3.895403068329939,7.6
2018-04-30,3.640688380135937,7.4
2018-05-31,3.8978372863534894,7.5
2018-06-30,4.161127433487577,7.6
2018-07-31,4.005373097396214,7.6
2018-08-31,3.8413370342973874,7.6
2018-09-30,3.773006470826523,7.6
2018-10-31,3.4434339759912724,7.4
2018-11-30,3.1947072679183286,7.2
2018-12-31,3.752591233867042,9.0
2019-01-31,4.090416085109694,8.7
2019-02-28,4.087128984711419,8.8
2019-03-31,3.9933459108944636,8.2
2019-04-30,4.0020902202683395,7.7
2019-05-31,4.200710749324177,7.4
2019-06-30,4.643344031355623,7.2
2019-07-31,4.941710615012496,7.0
2019-08-31,5.139788131409295,7.2
2019-09-30,5.489331321635937,7.3
2019-10-31,6.396861790790753,7.4
2019-11-30,6.995408622113297,7.5
2019-12-31,6.672626675560567,7.3
2020-01-31,6.750281946433656,7.8
2020-02-29,6.758780583885615,8.3
2020-03-31,9.655870792784448,13.1
2020-04-30,16.553126911481986,33.8
2020-05-31,21.56559819753705,24.8
2020-06-30,22.736004288365443,19.3
2020-07-31,23.38636109075649,18.7
2020-08-31,22.964712038021506,15.0
2020-09-30,23.808782404252504,14.3
2020-10-31,23.530481083698398,13.6
2020-11-30,24.42220474505177,13.0
2020-12-31,24.966917917515353,14.0
2021-01-31,25.78194244825802,19.9
2021-02-28,26.891691997594247,13.5
2021-03-31,24.743366599466565,26.6
2021-04-30,18.849855693833707,12.4
2021-05-31,14.672688522694077,10.0
2021-06-30,13.068793716152127,9.0
2021-07-31,12.534366152125664,9.9
2021-08-31,13.348259048442014,9.2
2021-09-30,12.937094478785326,7.5
2021-10-31,12.958010646168105,
