DATE,Urban CPI Inflation,5 Year Breakeven Inflation Rate,Urban CPI Inflation - 5 Year Breakeven Inflation Rate
11/30/2013,1.237072205,1.753157895,-0.51608569
12/31/2013,1.50173562,1.66952381,-0.16778819
1/31/2014,1.578947368,1.738095238,-0.15914787
2/28/2014,1.12634925,1.774210526,-0.647861276
3/31/2014,1.512202876,1.777142857,-0.264939981
4/30/2014,1.952857899,1.808571429,0.14428647
5/31/2014,2.12711155,1.935714286,0.191397264
6/30/2014,2.072341373,1.97047619,0.101865183
7/31/2014,1.992328636,1.970909091,0.021419545
8/31/2014,1.699611334,1.841428571,-0.141817237
9/30/2014,1.657918676,1.676666667,-0.018747991
10/31/2014,1.664340216,1.481363636,0.182976579
11/30/2014,1.322355182,1.477777778,-0.155422595
12/31/2014,0.75649327,1.274545455,-0.518052185
1/31/2015,-0.089348313,1.2085,-1.297848313
2/28/2015,-0.025129802,1.362105263,-1.387235065
3/31/2015,-0.073637391,1.477272727,-1.550910118
4/30/2015,-0.199517446,1.617727273,-1.817244719
5/31/2015,-0.039932745,1.6395,-1.679432745
6/30/2015,0.123771204,1.632727273,-1.508956069
7/31/2015,0.16956978,1.495454545,-1.325884766
8/31/2015,0.195079293,1.22952381,-1.034444517
9/30/2015,-0.036129748,1.155238095,-1.191367843
10/31/2015,0.170574436,1.174285714,-1.003711279
11/30/2015,0.501797579,1.266315789,-0.764518211
12/31/2015,0.729519786,1.238636364,-0.509116578
1/31/2016,1.373086814,1.190526316,0.182560498
2/29/2016,1.01779978,1.0835,-0.06570022
3/31/2016,0.852536221,1.409090909,-0.556554688
4/30/2016,1.125110419,1.481904762,-0.356794343
5/31/2016,1.019322554,1.52047619,-0.501153636
6/30/2016,0.997326495,1.435909091,-0.438582596
7/31/2016,0.82713887,1.3885,-0.56136113
8/31/2016,1.062874503,1.303478261,-0.240603758
9/30/2016,1.463783647,1.34952381,0.114259838
10/31/2016,1.635987521,1.5325,0.103487521
11/30/2016,1.692537163,1.6615,0.031037163
12/31/2016,2.074622133,1.810952381,0.263669752
1/31/2017,2.500042209,1.8855,0.614542209
2/28/2017,2.737958171,1.886842105,0.851116066
3/31/2017,2.380612433,1.836521739,0.544090694
4/30/2017,2.199689878,1.748421053,0.451268826
5/31/2017,1.874877721,1.746363636,0.128514084
6/30/2017,1.633487955,1.632727273,0.000760683
7/31/2017,1.727978456,1.6415,0.086478456
8/31/2017,1.938974212,1.614782609,0.324191603
9/30/2017,2.232963865,1.682,0.550963865
10/31/2017,2.041128702,1.731428571,0.309700131
11/30/2017,2.202582939,1.752857143,0.449725796
12/31/2017,2.109082475,1.766,0.343082475
1/31/2018,2.07050762,1.936666667,0.133840954
2/28/2018,2.211795421,1.965263158,0.246532263
3/31/2018,2.359711404,2.021428571,0.338282833
4/30/2018,2.462743943,2.04952381,0.413220134
5/31/2018,2.801011715,2.101818182,0.699193533
6/30/2018,2.871547835,2.067619048,0.803928788
7/31/2018,2.949515087,2.042380952,0.907134134
8/31/2018,2.699180104,1.982608696,0.716571409
9/30/2018,2.276972194,2.008421053,0.268551142
10/31/2018,2.522469929,1.987272727,0.535197201
11/30/2018,2.176601032,1.8445,0.332101032
12/31/2018,1.910158849,1.601578947,0.308579901
1/31/2019,1.551235138,1.628095238,-0.0768601
2/28/2019,1.520135266,1.757368421,-0.237233155
3/31/2019,1.862522741,1.816190476,0.046332264
4/30/2019,1.996439776,1.838571429,0.157868347
5/31/2019,1.790228469,1.708181818,0.082046651
6/30/2019,1.648484656,1.549,0.099484656
7/31/2019,1.811464806,1.579545455,0.231919352
8/31/2019,1.749779889,1.380454545,0.369325344
9/30/2019,1.711304513,1.3935,0.317804513
10/31/2019,1.764042944,1.402272727,0.361770217
11/30/2019,2.051277982,1.548421053,0.502856929
12/31/2019,2.28512974,1.621428571,0.663701169
1/31/2020,2.486571955,1.652380952,0.834191003
2/29/2020,2.334873564,1.581052632,0.753820932
3/31/2020,1.539326992,0.674545455,0.864781537
4/30/2020,0.329096686,0.758571429,-0.429474742
5/31/2020,0.11792637,0.765,-0.64707363
6/30/2020,0.645733048,1.014090909,-0.368357862
7/31/2020,0.986081825,1.313181818,-0.327099993
8/31/2020,1.309645382,1.55047619,-0.240830808
9/30/2020,1.371324861,1.532380952,-0.161056091
10/31/2020,1.182066168,1.560952381,-0.378886213
11/30/2020,1.174535784,1.625263158,-0.450727374
12/31/2020,1.362005495,1.865454545,-0.503449051
1/31/2021,1.399769742,2.103157895,-0.703388153
2/28/2021,1.676215217,2.311578947,-0.63536373
3/31/2021,2.619762509,2.496956522,0.122805987
4/30/2021,4.159694839,2.529545455,1.630149384
5/31/2021,4.992706538,2.6495,2.343206538
6/30/2021,5.391451413,2.464545455,2.926905959
7/31/2021,5.365475239,2.496666667,2.868808573
8/31/2021,5.251271555,2.493636364,2.757635191
9/30/2021,5.390348855,2.496666667,2.893682188
10/31/2021,6.221868903,2.745,3.476868903
