DATE,1 M (%),3 M (%),6 M (%),1 Y (%),2 Y (%),3 Y (%),5 Y (%),7 Y (%),10 Y (%),20 Y (%),30 Y (%),Federal Funds Target (Pre-Crisis),Federal Funds (Upper) Target,Effective Federal Funds Rate,Interest on Excess Reserves
2009-07-31,0.14681818181818182,0.18363636363636363,0.27954545454545454,0.4786363636363636,1.0190909090909093,1.5481818181818183,2.462727272727273,3.1381818181818186,3.5622727272727275,4.377727272727273,4.406818181818182,,0.25,0.15580645161290324,0.25
2009-08-31,0.12428571428571428,0.1719047619047619,0.2690476190476191,0.4590476190476191,1.1152380952380954,1.6485714285714284,2.570952380952381,3.2138095238095237,3.587142857142857,4.327619047619048,4.370952380952382,,0.25,0.16032258064516128,0.25
2009-09-30,0.06142857142857143,0.12333333333333335,0.20714285714285713,0.40476190476190477,0.9561904761904761,1.4776190476190476,2.369047619047619,3.0166666666666666,3.401904761904762,4.140476190476191,4.185714285714286,,0.25,0.14666666666666667,0.25
2009-10-31,0.04095238095238095,0.07428571428571429,0.1604761904761905,0.37476190476190474,0.949047619047619,1.4638095238095237,2.3328571428571427,2.9633333333333334,3.3876190476190478,4.1623809523809525,4.188571428571429,,0.25,0.11806451612903227,0.25
2009-11-30,0.05263157894736842,0.05210526315789474,0.15473684210526314,0.31315789473684214,0.8031578947368421,1.316315789473684,2.230526315789474,2.921578947368421,3.4026315789473687,4.235263157894737,4.314736842105264,,0.25,0.119,0.25
2009-12-31,0.031818181818181815,0.05454545454545454,0.16772727272727272,0.37136363636363634,0.8745454545454545,1.383181818181818,2.3404545454545453,3.0745454545454547,3.5900000000000003,4.399545454545454,4.494090909090909,,0.25,0.11806451612903227,0.25
2010-01-31,0.02263157894736842,0.061578947368421046,0.14842105263157895,0.34578947368421054,0.9289473684210525,1.4921052631578948,2.4842105263157896,3.2089473684210525,3.7331578947368427,4.501578947368421,4.604736842105263,,0.25,0.11,0.25
2010-02-28,0.05736842105263158,0.10894736842105263,0.18105263157894735,0.34578947368421054,0.856842105263158,1.4010526315789473,2.3636842105263156,3.1226315789473684,3.691052631578947,4.481052631578947,4.619473684210526,,0.25,0.12642857142857142,0.25
2010-03-31,0.11652173913043479,0.15043478260869564,0.22565217391304349,0.39565217391304347,0.9586956521739131,1.5056521739130435,2.4330434782608696,3.1617391304347824,3.7273913043478264,4.489130434782608,4.644782608695652,,0.25,0.16451612903225807,0.25
2010-04-30,0.15045454545454545,0.1622727272727273,0.2440909090909091,0.44499999999999995,1.0604545454545455,1.6381818181818182,2.5813636363636365,3.2818181818181817,3.8468181818181817,4.531363636363636,4.693181818181818,,0.25,0.19833333333333333,0.25
2010-05-31,0.147,0.16,0.22349999999999998,0.371,0.8305,1.319,2.18,2.8609999999999998,3.4200000000000004,4.1145000000000005,4.286,,0.25,0.2006451612903226,0.25
2010-06-30,0.07954545454545454,0.12363636363636364,0.19090909090909092,0.3181818181818182,0.7245454545454545,1.1745454545454546,1.9963636363636363,2.6559090909090908,3.2040909090909087,3.95,4.127727272727273,,0.25,0.17666666666666667,0.25
2010-07-31,0.15666666666666668,0.15761904761904763,0.20047619047619047,0.2914285714285714,0.6166666666666666,0.9785714285714286,1.762857142857143,2.434285714285714,3.0114285714285716,3.796190476190476,3.994285714285714,,0.25,0.18258064516129033,0.25
2010-08-31,0.15409090909090908,0.155,0.19136363636363637,0.2590909090909091,0.5204545454545455,0.7836363636363637,1.4654545454545456,2.1004545454545456,2.6986363636363637,3.516818181818182,3.803181818181818,,0.25,0.18935483870967743,0.25
2010-09-30,0.11666666666666667,0.1519047619047619,0.19333333333333336,0.2566666666666667,0.48,0.741904761904762,1.4104761904761904,2.051428571428571,2.6476190476190475,3.4690476190476187,3.773333333333333,,0.25,0.19466666666666665,0.25
2010-10-31,0.1405,0.1345,0.17650000000000002,0.22800000000000004,0.376,0.5685,1.1824999999999999,1.8515000000000001,2.54,3.524,3.8725,,0.25,0.19129032258064516,0.25
2010-11-30,0.134,0.143,0.182,0.252,0.454,0.674,1.35,2.0235,2.763,3.818,4.186,,0.25,0.19433333333333333,0.25
2010-12-31,0.08772727272727274,0.1409090909090909,0.19318181818181818,0.29409090909090907,0.6181818181818182,0.9931818181818183,1.9345454545454546,2.6577272727272727,3.290909090909091,4.173636363636364,4.417727272727273,,0.25,0.1832258064516129,0.25
2011-01-31,0.141,0.152,0.1815,0.27349999999999997,0.6144999999999999,1.0275,1.9945,2.7235,3.3939999999999997,4.281000000000001,4.523000000000001,,0.25,0.16838709677419356,0.25
2011-02-28,0.11473684210526316,0.13210526315789473,0.16842105263157894,0.28631578947368425,0.7726315789473684,1.283157894736842,2.2578947368421054,2.961578947368421,3.5763157894736843,4.423684210526315,4.652105263157895,,0.25,0.15678571428571428,0.25
2011-03-31,0.06478260869565218,0.10043478260869565,0.1565217391304348,0.2591304347826087,0.697391304347826,1.1743478260869566,2.1134782608695653,2.7991304347826085,3.4143478260869564,4.26608695652174,4.513913043478261,,0.25,0.13870967741935483,0.25
2011-04-30,0.0295,0.058499999999999996,0.11950000000000001,0.2465,0.7344999999999999,1.21,2.169,2.837,3.4549999999999996,4.276,4.5015,,0.25,0.098,0.25
2011-05-31,0.024285714285714285,0.04095238095238095,0.08666666666666667,0.1880952380952381,0.5552380952380952,0.9352380952380953,1.8423809523809522,2.513809523809524,3.168571428571429,4.011428571428572,4.293333333333333,,0.25,0.09387096774193548,0.25
2011-06-30,0.01909090909090909,0.03727272727272728,0.10136363636363636,0.1809090909090909,0.4104545454545454,0.7113636363636364,1.5799999999999998,2.286818181818182,3.002272727272727,3.9145454545454546,4.232727272727273,,0.25,0.09200000000000001,0.25
2011-07-31,0.0375,0.0375,0.084,0.185,0.40650000000000003,0.6799999999999999,1.541,2.277,3.003,3.9475000000000002,4.2705,,0.25,0.07096774193548387,0.25
2011-08-31,0.017391304347826087,0.024347826086956525,0.06217391304347827,0.11478260869565218,0.23043478260869565,0.3830434782608696,1.0213043478260868,1.6291304347826085,2.3030434782608693,3.244782608695652,3.651304347826087,,0.25,0.09580645161290323,0.25
2011-09-30,0.005714285714285714,0.013809523809523811,0.043333333333333335,0.10476190476190476,0.21142857142857144,0.3538095238095238,0.9004761904761904,1.4195238095238094,1.975238095238095,2.827142857142857,3.182380952380952,,0.25,0.084,0.25
2011-10-31,0.013500000000000002,0.019,0.05450000000000001,0.1145,0.2805,0.471,1.0615,1.6190000000000002,2.152,2.8695,3.128,,0.25,0.0706451612903226,0.25
2011-11-30,0.014000000000000002,0.014000000000000002,0.0465,0.11200000000000002,0.2535,0.3935,0.908,1.452,2.0134999999999996,2.718,3.0155000000000003,,0.25,0.081,0.25
2011-12-31,0.0033333333333333335,0.01142857142857143,0.04857142857142857,0.11523809523809524,0.2571428571428572,0.3871428571428571,0.8914285714285713,1.429047619047619,1.9780952380952381,2.6676190476190476,2.9823809523809524,,0.25,0.07161290322580646,0.25
2012-01-31,0.0245,0.0345,0.0655,0.11499999999999999,0.2405,0.358,0.835,1.3805,1.9665,2.695,3.0260000000000002,,0.25,0.08193548387096775,0.25
2012-02-29,0.0635,0.092,0.124,0.161,0.27799999999999997,0.38449999999999995,0.8310000000000001,1.3735,1.9675,2.748,3.109,,0.25,0.10379310344827586,0.25
2012-03-31,0.06363636363636364,0.08409090909090909,0.14227272727272727,0.18999999999999997,0.34454545454545454,0.5077272727272727,1.0172727272727273,1.5645454545454547,2.1727272727272724,2.9404545454545454,3.2813636363636363,,0.25,0.1267741935483871,0.25
2012-04-30,0.06666666666666668,0.0838095238095238,0.13904761904761903,0.18333333333333335,0.2919047619047619,0.4319047619047619,0.8947619047619048,1.4252380952380952,2.052857142857143,2.8166666666666664,3.1842857142857146,,0.25,0.13933333333333334,0.25
2012-05-31,0.0659090909090909,0.08954545454545454,0.14545454545454548,0.1918181818181818,0.28500000000000003,0.38818181818181813,0.7618181818181818,1.2131818181818181,1.8031818181818182,2.525909090909091,2.930909090909091,,0.25,0.15580645161290324,0.25
2012-06-30,0.05190476190476191,0.09142857142857143,0.14809523809523809,0.18904761904761905,0.2919047619047619,0.38904761904761903,0.7114285714285714,1.08,1.6223809523809525,2.3061904761904763,2.698095238095238,,0.25,0.16166666666666668,0.25
2012-07-31,0.06952380952380952,0.09714285714285714,0.1457142857142857,0.18571428571428572,0.2480952380952381,0.33095238095238094,0.6195238095238095,0.9842857142857143,1.5266666666666668,2.217142857142857,2.59,,0.25,0.15645161290322582,0.25
2012-08-31,0.09217391304347826,0.10260869565217391,0.14043478260869566,0.1834782608695652,0.26869565217391306,0.3678260869565217,0.7139130434782608,1.1352173913043477,1.6782608695652175,2.3978260869565218,2.7708695652173914,,0.25,0.13225806451612904,0.25
