ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T19,163398,0,0,47844,72945,0,120492,72563,419550,0,172436,4955,286812,9120,0,20015,614351,317696,0,739853,129925,30069,1000397,6817,39288,22051,19359,35185,251145,234182,138331,2773528,598440,69138,0,23365,0,88289,93762,105247,51452,100971,3117057,13267,96085,614872,152284,327502,3453,0
T20,2436,1891,4165,1652,40735,5398,5933,828,33377,3656,0,1261,4091,8966,9068,2404,4528,0,4679,584,1416,11945,929,2259,3809,1758,254,0,17487,6784,852,14182,13468,251,29843,3729,2180,14697,76,8095,299,2322,36773,1219,455,7479,9314,17972,428,5
T21,0,1,28,638,4601,796,66,440,4846,0,0,299,2103,4217,7504,211,3091,0,784,28,450,0,435,1380,70,4164,0,95322,389,67453,246,57,0,244,0,4332,1988,139,310,2497,127,442,6667,0,148,53,28,14,514,0
T22,75013,1290,1665,7695,52710,9239,16491,488271,144416,39174,1689,1487,148429,5892,34479,41619,217600,192002,3482,13268,23228,13123,6466,69311,66777,1771,6385,39910,4444,266339,2540,53308,311879,0,275495,43435,0,656616,10197,65066,2208,489579,2130095,2549,4495,43791,16593,7060,13992,6119
T23,14173,23664,19167,22091,70820,59513,3784,993,14417,23099,364,30242,25287,18829,23626,16784,21006,29597,8164,12676,4707,48737,53243,13515,29730,35518,13765,5972,8668,13070,7542,3982,14164,11090,19376,16275,34741,60547,1934,14851,20838,24601,65100,20254,6114,19530,29426,15919,55615,26314
T24,184196,31419,155124,119535,1827556,181149,216705,31707,1085628,222207,87245,106080,1262085,140574,366609,155959,186500,112287,79001,260438,307874,905923,513330,117185,246371,130830,87405,130064,81188,410037,114543,685740,416199,52712,617089,522798,366380,788763,53439,103447,40860,240933,1016922,88229,57651,340399,330421,88967,292042,49722
T25,15260,0,14507,13379,158918,15776,35670,195,146516,34977,264,6500,80038,199972,13518,10081,10457,11775,10119,27580,80131,45209,33766,25239,22865,3615,8030,13821,13184,35655,6087,107875,70988,3837,42847,13581,31207,53077,560,31479,2291,39095,95731,9030,4922,34226,48981,2685,29896,1676
T27,9973,226,0,9795,86692,0,301,4057,27270,0,11717,29304,0,0,6158,4361,7707,666,0,0,0,17232,0,10367,19703,5,0,0,5482,1098,56,22152,0,4,3169,5,11896,49083,0,0,862,6118,17707,0,0,0,13066,17161,0,0
T28,98814,9053,64497,27251,2671360,42708,103821,201706,300104,90610,21794,43041,318762,35589,72327,22190,82205,77608,42271,123993,106235,184052,265654,74522,123014,29041,62898,160047,59239,365388,20158,148093,107435,34612,708964,180510,124231,576859,25099,90246,49584,147051,584977,24442,27087,137991,185711,36372,250760,13468
T29,6,2563,11870,4250,3464,517,4775,27157,11,38790,1357,2986,4370,1334,4285,2763,3703,2806,1671,2138,73038,113358,36104,704,50595,747,20847,4088,2339,4099,68,7838,3239,0,4999,379,3584,14094,1417,9830,10614,3858,26111,3112,1849,5196,38377,236,2064,1011
T40,2035538,0,2102361,1528231,32709761,3235796,3639362,710304,0,6271374,1037854,843780,7340982,3644159,1791129,1776884,2813947,1867150,1074826,4681860,8026149,6519643,5374550,1020028,3519844,535830,1122893,0,55118,6735282,923113,22648364,7089142,199390,7916410,2113947,4023579,6661780,824870,2334066,0,115593,0,1572512,411343,6775746,0,1055523,5252500,0
T41,242411,207075,389406,176875,6803559,199853,344684,208283,1226980,484139,30603,93490,1293188,729164,140031,124519,369572,198716,91188,379020,1184610,1843072,596584,288778,205729,44137,111597,0,396162,2397043,101546,2089104,898369,55989,794645,104448,225501,1189314,67118,173886,43976,612943,0,148218,41641,328444,0,182364,526500,0
T50,33549,1222,96859,63551,932005,54299,197789,39000,558880,89793,15524,15947,236643,197975,72899,46952,97668,59093,30520,142123,181295,98565,127687,22413,78441,13306,15265,37250,56492,445311,28398,708010,131808,7304,100811,74928,51431,673547,27182,43744,27221,85407,256277,32978,15605,143325,124378,10836,68816,14982
T51,45839,0,0,21500,0,0,148394,75980,2482800,342,11818,0,53516,0,11836,0,3365,0,22275,141773,207902,275513,298279,0,12464,0,7670,5379,121381,164132,0,619133,37979,0,0,10305,26719,384517,8813,38760,144,150736,0,0,20066,282338,522617,8365,57400,0
T53,104386,640856,14662,15213,12485,37245,0,0,46700,0,0,2450,295,652,0,85271,172202,482340,0,0,0,49118,23083,47241,33,111095,1782,25162,0,0,483739,0,1858,161253,8065,547951,25797,0,0,0,2755,1095,1501289,37788,0,1608,38360,193680,3295,440757
T99,0,0,0,7076,0,0,0,985,0,27107,0,0,0,0,0,0,0,0,0,41480,0,944,0,0,66,2859,0,0,0,0,0,0,0,0,0,30444,0,20598,81,0,0,31090,0,0,4158,66032,0,0,9141,0
