,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
T20,2323,1689,2167,1025,31267,3347,5766,671,24925,1930,0,924,2868,9677,8234,2696,1819,2433,2399,327,1176,11516,476,2269,2467,1503,208,20,2828,3238,470,29812,4727,237,24600,2889,1586,13663,239,9099,231,1627,17885,529,362,5983,7746,5934,182,8,3342
T21,0,109,27,303,70,254,564,87,8525,0,0,0,936,0,2506,179,433,0,644,14,794,603,399,0,985,32685,0,64870,543,57203,154,31,5003,1217,0,4185,1773,72,217,26672,180,0,6197,0,161,11,4313,0,3353,0,0
T22,121586,930,4000,8122,50200,981,9829,297004,48832,23748,1815,283,82947,3954,30600,14437,82087,265035,2087,3982,18576,14506,3013,46920,63436,849,10077,8455,7713,98451,1191,23655,161398,0,180364,35131,4013,943904,5973,27446,564,230776,1116796,0,648,23799,9015,5356,7397,2302,5750
T23,17452,11459,13510,17111,62678,51576,2538,901,15181,18014,247,19054,15248,12976,14506,9590,11766,11769,8426,9364,4295,38968,35773,8889,19902,22325,8071,7456,5940,9766,8463,31594,13644,9247,22557,12854,26854,43272,1054,11341,8916,20353,44639,16624,4783,15436,27156,13512,45929,21322,0
T24,145769,24219,193389,115316,1358935,103328,173429,18441,533357,84135,39540,48878,612073,155642,226548,109739,148517,86569,50845,151855,250986,514341,393416,62691,200840,40943,54631,67740,51514,315419,106314,561678,279959,25226,481465,298009,244920,447173,50787,79127,25176,158693,692888,45472,38218,255805,203538,79462,207498,38511,18494
T25,14142,680,8828,8659,97207,13195,23595,1500,97250,19773,0,4332,44507,0,16471,9465,5221,6315,6642,16998,63577,37486,19998,9057,16481,3092,4636,6904,7678,25218,4954,54200,55159,3382,21359,7397,14349,55484,1244,14703,2063,27117,71259,8991,4532,23956,20040,4383,21667,1117,1919
T27,2647,0,0,8517,66023,0,0,2382,22517,0,2996,16612,0,40,5447,2687,1950,3511,0,0,0,17085,0,1491,12190,1345,0,0,4461,16,101,35969,0,0,442,4,7485,35713,0,0,0,4081,7535,0,0,0,15399,12333,20,1433,0
T28,91283,41568,32299,36079,614857,57863,63880,127337,223136,37823,10066,23791,39996,22369,52377,24428,27186,35621,26309,82062,69426,76483,109380,24488,82274,17196,31427,58424,24145,60539,13421,202792,79800,18919,165586,37312,106970,223502,13456,83570,18029,56419,295707,9863,7718,62108,140941,19861,126937,1790,16782
T29,0,50,25480,502,6627,9978,5162,573,23742,26020,167,1478,2133,1418,1419,1754,2027,1172,876,1700,3216,19616,10785,107,8821,145,13317,3500,2154,3235,542,2822,1460,975,3559,337,2064,6819,887,27501,551,1810,13174,575,2242,3144,2674,215,9390,349,1577
T40,1233824,0,1240372,850111,17029575,1611954,1865711,497589,0,3081708,906982,535482,4582387,2588916,1410926,833756,1678526,867478,591487,2907450,5336957,3241549,2999091,439577,1844004,321538,652638,0,34958,4101895,445303,14913380,3583018,119497,4407036,1218181,2221297,4689139,478461,1410893,0,93360,0,781383,271430,3321243,0,612619,3142211,0,627800
T41,164779,200025,210824,125525,4518418,123458,593720,128737,695114,375286,67768,68171,970531,672100,192818,198998,271027,232061,69921,216946,756781,1729549,422812,146308,229730,57683,103617,0,95635,845823,77786,2518790,643865,38610,641701,149142,152161,1623774,48502,141895,35222,295266,0,76375,30954,273258,0,182081,437689,0,120898
T50,30279,1029,25652,8587,447844,34325,190659,38297,281368,37584,16416,21706,120553,86969,78030,52540,77355,46158,8551,80331,260215,207774,22312,10851,46711,11338,6619,8433,26275,224854,11623,747639,94924,2394,75877,46873,20427,537731,17730,26145,18996,42414,141007,3975,6948,48791,34456,7410,57664,3068,29922
T51,15057,0,0,7070,0,0,51119,30728,595927,14023,4028,0,25879,0,5938,0,3194,0,7497,60261,36684,0,63488,0,0,0,2885,0,34472,35297,0,331920,0,0,0,4485,15835,173029,3351,12693,99,54204,0,0,10209,82962,211325,3658,20743,0,38032
T53,61864,1150605,0,14996,29309,16046,0,0,67000,0,0,792,0,762,0,88789,203329,487887,0,0,0,41331,2045,41994,109,123795,2631,17847,40,0,239170,0,1621,83305,9143,354988,63788,0,0,0,5768,1199,1013811,25776,0,1426,64768,180833,1275,249437,0
T99,0,240,0,17492,0,14291,0,1417,0,16096,0,1700,0,0,0,0,0,0,0,37749,0,18438,0,0,1875,16078,0,0,0,0,0,0,0,0,0,17269,0,0,183,0,0,22701,0,0,10290,34420,7,0,9618,0,0
