,USTotals,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
T23,945600,17320,16201,14979,17189,67335,55339,4005,871,14454,20552,252,21126,18747,13995,14439,10720,15912,12584,9050,10486,4369,38901,37482,11239,20667,26377,8488,4596,6233,12051,11325,35589,14737,6495,23491,14038,30248,42624,1390,12414,10735,22424,46665,13135,5087,18393,28956,14149,45736,22010
T24,11834997,157861,24289,225722,89632,1422013,112787,184660,20422,762437,203731,57961,64035,711801,137645,249609,113630,156876,95928,53987,185676,236694,576090,449866,102289,217777,42560,65618,82896,49795,314169,105166,612820,307522,33664,529242,330997,265461,464508,54976,88940,25888,177350,744896,49893,41560,267968,222233,86127,219736,37594
T25,1058074,13877,2352,9580,11418,105722,8753,25036,129,95747,37869,272,3547,41638,0,6667,7865,9198,9824,9587,19689,60002,32814,22355,7361,15195,3151,4647,9650,7185,26464,5714,91925,52827,2924,27425,6358,14781,47247,424,13020,1670,35964,69218,7746,3253,22363,20616,4230,20623,2152
T27,362225,8412,322,0,8873,81057,0,0,2585,23961,0,3293,29670,0,0,7622,3715,6353,7562,0,0,0,17633,0,0,15656,1222,0,0,4399,3317,72,49641,0,0,648,4,7622,39928,0,0,0,5151,8212,0,0,0,14188,9527,13,1567
T28,4458676,92241,27641,38141,48594,655188,61071,66379,136492,230785,57923,11464,33895,44055,38445,58198,27667,47991,42744,27532,120389,55912,99696,141019,35901,97088,22844,44775,100763,27879,76951,13267,82209,93601,19989,246249,43899,180798,242528,17890,91326,35374,68721,384103,9695,13260,70089,128301,18275,126742,2697
T29,382789,155,0,25325,3636,6887,7095,5065,1165,7740,41137,175,1707,2765,523,1829,2284,2475,1068,528,1747,23771,20406,10022,102,10602,696,14292,3783,2384,2584,649,3189,2166,0,3787,353,2250,8032,663,94619,4963,1878,13669,574,2593,4168,23816,425,12681,366
T40,117127800,1367622,0,1408535,958302,17547763,1925168,2236725,546856,0,3580714,962217,563924,5049815,3015729,1509125,1194328,1729182,977593,614442,3225341,5689768,4485642,3449331,637637,2141522,345644,715590,0,35980,4475079,577069,16502024,4288148,136944,5110016,1315068,2583527,4735861,528089,1530996,0,99108,0,925004,286108,3811860,0,669694,3638710,0
T41,25692158,218131,176070,303239,184281,4633449,146042,701942,155070,950235,521399,68429,90061,1229274,798600,174285,254892,269067,219190,91955,320068,1062930,2174644,551822,167873,252392,68872,113142,0,144157,1085055,122528,3120034,737260,71461,652543,162214,263682,1486299,79320,219052,36540,421960,0,125191,34932,306667,0,184625,541284,0
T50,5042314,30176,1616,40617,11425,530845,33866,223187,23240,347052,87672,28120,6722,155254,98375,88146,87592,76135,52577,10080,81646,277533,56981,43732,10242,54308,10886,11981,23608,33218,304770,12200,799405,119683,3595,86498,59210,45341,593992,9477,27192,23591,44483,152354,8189,8705,82996,35239,9321,53202,26039
T51,2538708,20928,0,0,10479,0,0,60985,36723,922210,127,7922,0,35157,0,7899,0,4259,0,9292,73791,46053,0,102152,0,0,0,4379,2075,30882,61539,0,327031,0,0,0,6352,17518,208999,3515,20043,116,78824,0,0,12723,114296,278481,4657,29301,0
T53,4298003,70892,827522,0,12922,46373,15409,0,0,54362,0,0,2560,0,696,0,105663,199261,370439,0,0,0,33483,2720,34214,61,90893,1628,44176,0,0,330669,0,1863,110396,9060,372464,74744,0,0,0,7007,951,919299,18872,0,1678,84031,152945,1881,298869
T99,278794,0,16,0,13310,0,218,0,1745,0,17934,0,28764,0,0,0,0,0,0,0,37024,0,10462,0,0,2212,43356,0,0,1857,0,0,0,0,0,0,21636,0,15580,89,0,0,23465,0,0,11748,36719,0,0,12659,0
