ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY,Unnamed: 100
T20,3967,,1806,,7503,,4280,,51535,,6238,,12402,,1982,,8314,,2913,,0,,1409,,11906,,10096,R,12284,,3352,,5759,,0,,5990,,1177,,3122,,16198,,1842,,2852,,4963,,2109,,1010,,0,,3996,,10885,,1620,,47926,,16077,,310,,43281,,1204,,3080,,16618,,53,,9676,,757,,1200,,58703,,1936,,372,,12067,,13598,,15543,,1549,,0,
T21,0,,1,,0,,479,,15285,,822,,128,,394,,19500,,624,,0,,336,,1358,,6321,R,18024,,19,,262,,0,,730,,28657,,324,,0,,1095,,13127,,1916,,4350,,623,,111898,,146,,63871,,262,,71,,0,,738,,11988,,123560,,4402,,27606,,423,,1997,,7166,,291,,8765,,0,,37,,80,,6231,,966,,631,,0,
T22,109434,,0,,10716,,24708,,52094,,16152,,28614,,795148,R,273635,,43127,,1479,,1954,,336360,,7171,R,39426,,42352,,99126,,84858,,8524,,94294,,24073,,20839,,7737,,126722,,79487,,3089,,3213,,70845,,37015,R,246270,,21224,,72992,,500226,,0,,1496467,,39753,,26665,,632682,,4287,,89654,,3932,,640228,R,3961502,,3877,,1961,,56651,,28643,,7437,,18036,,11714,
T23,21053,,26790,,28169,,20975,,91648,,69422,,5565,,780,,15688,,23475,,432,,31127,,40937,,17499,,28288,,24608,,25497,,27505,,15840,,15426,,5166,,49060,,56168,,15250,,31276,,46526,,13484,,8854,,9314,,13163,,57034,,61008,,16663,,14232,,38713,,19032,,42797,,71198,,1710,,17891,,27749,,30943,,96970,,28730,,6430,,23702,,33490,,97,,68244,,35546,
T24,199970,,58285,,202588,,143329,,3090610,,420736,,162608,,50031,,1253518,,296786,,104923,,134108,,1608090,,300855,R,500775,,188281,,203492,,104926,,97726,,444133,,378084,,894900,,583498,,129078,,265331,,136658,,87657,,151688,,120342,,587524,,198035,R,1268900,,568268,,92546,,710956,,637218,,480781,R,834338,,53954,,202339,R,52324,,262386,,1618563,,156914,,63769,,438904,,472741,,3547,,458408,,68733,
T25,21001,,0,,27942,,17053,,268749,,28061,,38664,,4688,,345673,,30374,,349,,10747,,105406,,206353,,10682,,21481,,15737,,12228,,8536,,26277,,87229,,54454,,45161,,34055,,15466,,8022,,12077,,21474,,5683,,51089,,3704,,128684,,127852,,4094,,91092,,15039,,29239,,61934,,491,,9629,R,3697,,45363,,128753,,13724,,7766,,59064,,70722,,102876,,42290,,2148,
T27,11792,,619,,18338,,8455,,392030,,15259,,528,,0,,30401,,0,,15785,,47686,,28189,,0,,11041,,5163,,0,,11329,,0,,0,,0,,25094,,1590,,8552,,19425,,8,,0,,0,,9923,,5883,,597,,25294,,0,,3,,25150,,5,,21949,,68654,,0,,0,,0,,7305,,20978,,0,,0,,0,,19340,,372,,67064,,0,
T28,128898,,41889,,119669,,118740,,4220434,,41762,,161062,,319583,,232170,,74116,,27386,,66304,,370540,,35082,R,109182,,46048,,114268,,106451,,102838,,156165,,235333,,171658,,345741,,86867,,137305,,98685,,13613,R,243489,,93371,,517040,,26617,,227426,,207340,,61375,,848230,,93613,,230022,,847488,,31477,,152446,,88047,,292036,,609410,,47044,,17754,,179927,,222038,,16039,,396755,,22848,
T29,2,,8499,,4013,,827,,4027,,1003,,5095,,8674,R,4605,,5641,,1171,,3977,,22555,,69203,R,1858,,2612,,4402,,4101,,8546,,1989,,121127,,168140,,71077,,39156,,19794,,8391,,27427,,4788,,527,,2112,,0,R,1393,,7945,R,0,,20440,,15622,,6371,,17502,,866,,13085,R,16444,,8506,,166429,,3444,,1781,,4110,,64624,,3152,,5487,,0,
T40,2795906,,0,,2863658,,2270383,,50508441,,4540586,,6469246,,1177724,R,0,,7658782,,1247291,,1169247,,11717504,,4583977,,2851449,,2689843,,3417779,,2403956,,1420982,,6644962,,11617600,R,6417078,,7482396,,1397578,,4534346,,812629,,1721548,,0,,75664,,10617034,,1096922,,36209216,,9869492,,433116,,8820082,,2385413,,5493119,,9831427,,1025584,,2907731,,0,,189518,,0,,2298220,,556013,,9530628,,0,,1665885,,6429115,,0,
T41,301178,,720733,,560236,,376874,,9613594,,383513,,681415,R,341965,R,1869870,,670410,,67859,,170214,,2805458,,681537,R,250272,,246518,,516523,,196732,,208997,,775845,,1931571,,728842,,1003657,,347963,,323593,,123985,,154945,,0,,518405,,2216438,,229800,,4015628,,1092078,,160640,,237205,,353972,,468606,,1978061,,130644,,216082,,15208,,1068573,,0,,247661,,105077,,798404,,0,,307278,,850647,,0,
T50,82,,0,,437,,3,,0,,70,,227237,,16229,,1120,,0,,6899,,620,,122241,,148676,,65535,,229,,41351,,1074,,49323,,216033,,309638,,200,,161309,,19,,1946,,40,,1551,,0,,270,,642182,,5,,1219248,,26788,,0,,72081,,5725,R,76250,,778597,,16878,,8,,0,,113351,,0,,130,,35880,,2713,,122740,,0,,0,,0,
T51,31901,,0,,0,,23180,,0,,0,,93358,,50054,,1339280,,11636,,48593,,0,,37993,,0,,11245,,0,,3123,,0,,19619,,125140,,166840,,123255,,153456,,0,,10802,,0,,10340,,55557,,82031,,283209,,0,,692143,,31733,,0,,0,,10875,,2028,,328900,,6906,,32279,R,190,,120960,,0,,0,,26564,,290789,,368618,,8108,,35555,,0,
T53,115975,,4238789,,40237,,79656,,31879,,146690,,60,,0,,59980,,0,,0,,7787,,0,,1825,,0,,122152,,342320,,729260,,0,,0,,0,,69870,,27618,,105100,,5,,278372,,4440,,272240,,0,,0,,666383,,0,,1610,,1021709,R,11197,,830662,,13199,,0,,0,,0,,10596,,2355,,2677604,,101665,,0,,1923,,26706,,585992,,5631,,1044150,
T99,0,,0,,0,,25770,,0,,0,,3679,,1147,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,109270,R,115008,,0,,0,,1383,,12007,,3596,,0,,381901,,0,,0,,0,,1607261,,0,,0,,0,,0,,0,,25849,,0,,0,,0,,37508,,0,,0,,4942,,120519,,0,,0,,11500,,5270,
