ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY
T20,3563,,1777,,9986,,1822,,48881, ,6097,,6385, ,977,,36846,,1483,,0,,1600,,11387,,10848,,10499,,2603,,5345,,0,,4159,R,1089,,3118,,13461,,1602,,2777,,4199,,1665,,282,,0, ,3266,,6909,,302,,58173,,14371,,280,,38706,,4843,,2836,,16183,,149,,8629,,315,,11524,,51375,,1842,,375,,11157,,11099,,11560,,1641,,0
T21,0,,0,,26,,445,,12241, ,831,,40,,450,,5048,,87,,0,,359,,1229,,4896,,22053,,215,,284,,0,,704, ,26,,447,,0,,1052,,5866,,902,,4988,,348,,95256, ,322,,78045,,0,,67,,0,,292,,19910,,52207,,2768,,313973,,948,,1494,,92,,309,,7945,,0,,0,,116,,13574,,15,,612,,0
T22,98831,,1405,,21828,,22810,,64014, ,8887,,17800, ,624210,,196157,,29908,R,1478,,2448,,201366,,7111,,35742,,56152,,76602,,315296,,7978,R,73779,,25418,,20314,,6763,,125580,,76570,,3023,,7081,,72119, ,37382,R,320793,,2955,,71518,,399207,,0,,648584,R,49999,,11355,,776886,,4189,,67065,,3101,,635002,,3215219,,5038,,4693,,57257,,24022,,8691,,16957,,9514
T23,16903,,32349,,30549,,20496,,90360, ,76146,,5581,R,1049,,14750,,19737,,440,,33889,,35516,,18466,,27076,,20877,,24911,,28312,,15769,R,13708,,5437,,49981,,59512,,14709,,30697,,47076,,15270,,9114, ,8782,,12398,,21660,,40763,,17419,,14626,,49494,,20286,,39890,,67636,,1781,,17156,,26437,,34108,,91384,,26111,,5775,,26402,,32214,,16701,,71017,,30891
T24,204831,,54672,,213008,,131292,,2621956, ,204994,,203399, ,34783,,1176282,,289931,,108314,,125306,,1354997,,182932,,401265,,169653,,209881,,110997,,85691,R,459907,,300426,,909353,,512656,,124836,,253464,,150082,,91150,,170142, ,85806,,449060,,190410,,817299,,614000,,57635,,812487,,608318,,460186,,818588,,52539,,171778,,45417,,271080,,1433781,,303466,R,75831,,367848,,459158,,87715,,365968,,65043
T25,16163,,0,,27013,,14967,,227996, ,10427,,38026, ,2665,,172643,,63487,,446,,6599,,70721,,228873,,6864,,19718,,17442,,11870,,11590,R,25559,,82302,,51430,,48450,,31192,,16992,,8560,,8945,,15639, ,13225,,39049,,3929,,157241,,126775,,4008,,82478,,13650,,32002,,58400,,565,,52183,,2478,,44811,,116929,,10465,R,5412,,45733,,61148,,3229,R,31269,,2003
T27,12477,,367,,0,,7914,,876698, ,11071,,0, ,6987,,33519,,11,,14580,,34068,,0,,0,,11543,,5237,,10110,,5797,,0, ,0,,17600,,21884,,0,,7563,,20191,,14,,0,,0, ,6867,,1498,,353,,19016,,0,,4,,41465,R,29,,1991,,56405,,0,,0,,0,,6799,,17481,,0,,0,,0,,16869,,13956,,65255,,0
T28,124694,,38720,,98885,,92376,,3468911, ,35221,,87471, ,240730,,239006,,73035,,26176,,56481,,700237,,39189,,91931,,25309,,110597,,95046,,97434,R,146027,,162032,,152040,,297385,,79679,,165609,,85425,,63250,,154860,R,51161,R,587255,,24469,,149476,,162303,,50997,,608242,,85544,R,275423,,723015,,32887,,141521,,75011,,259037,,763108,,36588,,17351,,160516,,233237,R,42282,,302866,,18851
T29,0,,7025,,11909,,6187,,3945, ,743,,5271, ,94583,,1066,,8503,,1461,,3358,,5659,,4053,,8370,,2921,,4157,,3154,,8766,R,2119,,96745,,156731,,45943,,10890,,62660,,7471,,21035,,5476, ,2851,,2103,,363,,14377,,4338,,0,,21058,,1062,,6486,,15919,,954,,11254,,11000,,7467,,38574,,5111,,1971,,4563,,44006,,221,,4951,,14
T40,3019510,,0,,3747387,,2168441,,53318287, ,4795423,,6335078, ,1025416,,0,,8799415,,1560306,,1406462,,9408437,,4615605,,2666601,,2744934,,3041535,,3214163,,1469295,R,6679168,,11399649,,6442678,,7230854,,1401809,,4834820,,832916,,1650895,,0, ,107452,,11727192,,1177918,,34579992,,10588951,,316894,,9722928,,2774851,,5595831,,9812726,,1085600,,3239468,,0,,249145,,0,,2561001,,581189,,10238776,,0,,1360511,,6333633,,0
T41,505886,,813762,,986170,,362983,,11157898, ,479445,,894317,R,302222,,2442516,,1017187,,100847,,188229,,2936360,,987111,,325077,,527427,,988065,,752773,,183852,,782030,,2106898,,1786213,,1183816,,369205,,390657,,178707,,213027,,0, ,595789,,2887137,,459880,,5416105,,1565544,,136424,,1125654,,561375,,405857,,2286527,,179168,,311902,,76665,,1120422,,0,,398894,,83362,,879575,,0,,539136,,923359,,0
T50,671,,133,,0,,0,,6348, ,602,,178380, ,893,,43397,,1403,,162,,177,,264395,,150290,,77750,,55620,,43578,,11134,,54820,,224322,,249597,,712,,107599,,145,,0,,755,,27366,,759, ,377,,604700,,79,,1053384,,177543,,0,,71886,R,66650,,79649,,736610,,35962,,1560,,506,,111191,,4594,,498,,17806,,152864,,182853,,199,,121113,,2680
T51,56592,,0,,0,,42433,,0, ,0,,183244, ,110935,,3755306,,15325,,48324,,0,,99635,,0,,17355,,0,,3469,,0,,29488,,214347,,235681,,237483,,261562,,0,,7945,,0,,15234,,129725, ,141605,,587124,,0,,1278486,,74444,,0,,0,R,17218,,11410,,583427,,13144,,78252,,122,,239872,,0,,0,,29830,,582309,,1038632,,12249,,71730,,0
T53,144306,,2436660,,43560,,21579,,31526,R,136888,,0, ,0,,45870,,0,,0,,6649,,354,,1003,,0,,132281,,275313,,904164,,0,,0,,0,,81874,,34591,,81814,,58,,264740,,2499,,62178, ,0,,0,,942354,,0,,1898,,391337,,7015,,942148,,12513,,0,,0,,0,,4700,,1604,,2762940,,101539,,0,,2006,,48727,,328320,,4960,,803632
T99,0,,0,,0,,10309,,0, ,0,,0, ,796,,0,,0,R,0,,2151,,0,,0,,0,,0,,0,,0,,0,,64843,,0,,0,,0,,0,,28,,2586,,0,,278953,R,10,,0,,0,,0,,0,,0,,0,,2398,R,0,,24352,,94,,0,,0,,33681,,0,,0,,5912,,20947,,0,,0,,10109,,0
