ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T19,160898,0,0,45794,66699,2,131624,66474,499395,0,179000,5078,318122,15368,0,6194,553290,297087,0,678962,162852,34536,997089,6892,25776,18250,18565,22335,231693,237359,124465,1026363,588780,63141,0,14557,0,27464,100039,81990,43194,122201,3231738,25646,176255,578198,204999,318507,3604,0
T20,2207,1117,1127,1546,33333,4835,5822,790,29821,2336,0,1156,4041,7992,9223,2325,1152,0,4290,541,1369,12065,891,2242,3683,1722,266,0,2752,6455,817,31353,7081,256,24335,5984,1313,14459,67,8295,285,2275,32490,852,427,7167,8211,8744,488,9
T21,0,1,56,707,3786,975,153,356,4808,0,0,285,2074,5602,5690,221,3083,0,749,23,493,0,307,1368,928,3927,0,92971,396,56846,306,171,0,245,0,3326,1867,112,348,2509,127,58,7216,0,109,43,114,15,493,0
T22,81912,1278,10623,9767,45192,5812,12710,586785,123905,32708,2667,1273,151605,5715,28719,27782,204474,252710,3313,14204,23129,12459,4375,66100,77158,1277,6190,23058,4347,145753,2402,65505,398278,0,296642,42700,5007,877073,11470,56194,2130,480242,2030756,2573,1267,28990,14685,5649,87857,7290
T23,14824,24585,18104,20851,76222,53199,2734,949,12602,22354,343,28789,24295,13793,19067,15875,20152,33234,11312,11730,5374,48009,47529,11240,28373,31068,11931,6316,6371,13340,12256,21562,13503,8818,27430,13933,36232,60939,1675,14650,21140,24782,64993,21932,6175,19231,34882,15736,59412,24766
T24,193872,34124,145214,110192,1787789,175932,218327,33817,959619,238195,82054,130661,1297171,213105,339759,141334,184620,106281,70473,190380,265454,837630,495656,122846,263913,52862,79541,112642,66367,409917,108740,571733,394504,47795,586660,577552,219949,758928,50402,104194,47337,225933,939080,83094,36555,312919,300231,77701,288132,49963
T25,12627,0,14077,16920,155460,14048,29292,1077,123781,43218,429,7377,65544,0,11188,12166,11399,7783,10328,15065,47231,45892,30789,24158,20320,3206,8187,12141,8977,35542,5258,31239,66923,3577,40962,10917,16917,53570,552,20681,2237,37268,123557,8311,4311,31413,41463,3735,35638,2772
T27,9678,325,0,9924,76921,0,310,4525,29599,0,9260,31358,0,0,7460,3707,6100,2640,0,0,0,16309,0,10451,20573,5,0,0,4682,400,54,33384,0,4,1809,3,11230,47015,0,0,0,6236,16676,0,0,0,14166,11736,0,0
T28,117483,11881,60660,76840,1726659,46074,78870,183223,255025,79939,20635,43426,282824,63543,71416,21582,117368,71745,36142,164577,94386,212942,208688,65011,159619,29013,57915,121861,50498,184229,29766,105223,72322,33657,500065,150943,119626,355793,25548,123865,58326,96821,509673,23702,27530,130949,180647,29273,217633,5241
T29,68,106,8020,5508,3533,499,4830,20188,9829,87735,1076,3415,4115,1327,3976,2340,3446,3382,1408,2153,58646,43413,21891,647,12496,1456,19264,3900,982,842,79,4924,3355,0,5545,467,3462,13118,515,16325,8317,4521,27045,2812,1438,4791,32965,244,11902,856
T40,2437640,0,2303888,1563693,44614297,3893395,4229615,720034,0,6926035,1105058,1030528,7668717,3779805,1888847,1988460,2649818,1750261,1161738,4724074,9902677,6790384,5906184,1033367,3815194,556015,1227092,0,76651,7989222,830006,26442534,7526282,213485,8305725,2279364,4384324,7154981,928203,2498818,0,198071,0,1705271,483592,7226402,0,1020690,5149020,0
T41,201533,400442,541174,202345,6899302,340039,387812,158703,1591473,691473,60499,141986,2216842,825017,166745,236723,361390,293056,96283,501365,1211584,2102093,732004,210786,236261,103670,138040,0,350363,1300785,190673,3199483,723635,63390,663376,167222,322651,1389458,77998,192070,43387,673465,0,162754,44606,363757,0,214297,495449,0
T50,47261,2683,76922,26101,934708,82798,257801,41037,707565,126114,17541,42808,361039,163674,87670,41195,85160,82930,30616,168751,203381,155469,53377,27575,153689,20286,27411,39918,59266,478061,23261,758523,143419,5056,166004,84806,42077,776869,27320,49488,34925,84140,322355,30017,12714,126839,106311,17541,77084,7883
T51,29383,0,0,17365,0,0,111967,59210,1538670,338,10368,0,57787,0,9295,0,3169,0,17971,104605,151193,252894,159328,0,0,0,6712,3692,91645,122277,0,498654,33652,0,0,9132,25647,316898,2302,39085,135,117780,0,0,21266,166911,435305,6621,44224,0
T53,118310,772403,4218,15904,24636,61917,0,0,49315,0,0,2556,294,565,0,113968,174995,464420,0,0,0,61804,1147,35103,63,131900,2041,29675,0,0,675212,0,2047,164624,8302,711072,34923,0,0,0,2187,1131,2044795,51853,0,1727,55162,167823,1340,421301
T99,0,0,0,3861,0,246,0,522,0,28297,0,0,0,0,0,0,0,0,0,34606,0,0,0,0,381,2799,0,0,0,0,0,0,0,0,0,11797,0,28064,48,0,0,28968,0,0,15855,57709,0,0,10685,0
