ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T22,179169,1639,6353,9408,37355,5445,13433,541112,120967,39716,2788,1252,143924,4663,33363,27048,192560,273553,3129,13278,22951,12938,4273,68019,89722,1196,6304,22859,4214,151046,2303,66534,158393,0,353002,43102,6460,990325,13391,41649,2032,494089,2098910,1328,1190,30087,14306,7675,95363,6385
T23,14298,19004,15864,19665,74553,53095,3054,1933,14064,23519,334,27095,27997,13427,18016,15833,18156,21933,11398,11368,5991,47507,54006,10989,28653,30151,12445,6374,6465,12314,16633,31966,14810,3702,29936,14211,28443,52058,1643,14205,14904,25329,63468,22619,5614,19770,29465,16390,62407,23056
T24,191195,35568,152555,117647,1763623,174589,232599,32744,927038,235488,76661,108365,1020338,159782,335732,143620,191534,110023,68389,179014,227704,816160,642467,112602,240552,55065,84390,113713,64702,352992,142405,632632,392182,43626,607600,633002,366177,791409,51450,107953,39315,235560,925337,80038,35318,309723,295288,87740,303691,52086
T25,15824,0,14958,15501,153359,15541,29009,440,112706,33277,544,6626,66842,0,14275,13335,10796,7594,10074,17540,60233,46876,31008,22446,17694,3959,8440,12220,8611,30644,9178,77400,59540,3618,38615,12007,20323,56644,388,15624,2008,38675,117896,8063,3965,29681,28974,4462,35616,2753
T27,9250,317,0,10806,72231,0,1184,4415,28445,0,8621,28757,0,0,5555,3413,6902,3671,0,0,0,15932,0,7409,21432,11,0,0,4883,1799,64,32591,0,4,1808,4,6664,46217,0,0,0,6039,16861,0,0,0,14721,18956,0,0
T28,129486,33704,57910,77322,1538293,45183,75188,180462,253371,64193,20913,40774,300591,52805,70379,28857,107345,73354,35893,155360,75221,212752,224008,53311,154278,25156,59327,112789,49089,176183,29597,106116,109318,35741,497881,115391,168664,309110,22879,110592,52787,93671,525530,22448,18793,112362,183445,30018,161381,3767
T29,58,126,10097,5638,12035,467,4685,15045,9829,68833,1056,2226,4607,1324,1934,2279,2801,0,1561,2064,56829,44375,20085,697,18617,1916,18549,3890,1018,3390,603,0,2939,0,5294,267,4367,12969,632,64274,7017,3190,26532,2793,2899,5010,33544,259,9379,974
T40,2071433,0,2291883,1470012,39574649,3636920,3973621,733399,0,6364586,1064317,965428,7637115,3753339,1890427,1861610,2701616,1582260,1076913,4613203,9041936,7190407,5547326,1006662,3550284,516261,1173918,0,65975,7205260,880859,23194281,7209670,198621,8241227,2134506,4097427,6770513,828983,2445559,0,180278,0,1651448,432002,6828901,0,965721,5952301,0
T41,243099,438438,523182,236969,6638762,334980,426617,240319,1182796,712421,75271,125860,2261293,924623,214605,272432,306450,222008,150046,431109,1306353,2382496,803357,227716,265467,99772,140022,0,312176,1347336,159338,2771556,1197162,78221,630607,194145,407084,1696845,74825,227161,45123,613924,0,173799,44430,565909,0,217793,578120,0
T50,66763,2455,85238,23821,928148,61873,237608,41124,739490,148255,22874,11083,348009,140173,99487,62888,74490,95577,58804,156976,166511,185528,82516,21960,129872,19039,19022,76002,61146,485948,16087,1054669,188412,6077,155103,87510,43907,801164,34207,43085,28429,92449,278486,64559,13550,150120,82573,21103,133261,50779
T51,26487,0,0,16861,0,0,114170,48507,1439564,294,9452,0,57654,0,9717,0,3335,0,19392,118027,127371,257093,141397,0,0,0,7181,3251,85010,116435,0,438019,34397,0,0,9043,25552,321616,2167,36906,142,119936,0,0,20831,145610,433810,6508,45293,0
T53,80738,708390,0,14558,24697,31948,0,0,56597,0,0,3369,240,467,0,62048,170476,378773,0,0,0,45140,2292,28139,120,85226,1658,28815,0,0,439327,0,1937,144740,9308,392606,38899,0,0,0,2714,957,1119467,26689,0,1910,61086,154239,4749,245693
T99,0,0,0,4183,0,230,0,2367,0,24515,0,0,0,0,0,0,0,0,0,38334,0,178,0,0,161,4510,0,0,0,0,0,0,0,0,0,12302,0,25597,63,0,0,28213,0,0,15682,55658,0,0,0,0
