,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,4225,1905,5246,4187,55550,7212,9265,1547,5179,8663,3829,0,1617,12626,13073,14879,3575,6374,0,5393,1358,3056,16540,2304,2945,5308,3215,1475,0,4306,3965,0,64576,15916,367,41327,1326,4609,16952,76,11382,840,1317,71661,1936,430,12756,153263,1380,1785,0
T21,0,1,0,426,15457,791,232,328,0,14000,148,0,754,14972,5722,22703,15,291,0,654,1158,762,0,1228,18619,1980,8512,1290,95717,244,49618,373,50,176,801,16209,146857,812,12157,237,1371,6980,376,20664,0,36,101,5699,3352,666,0
T22,78166,0,10368,27999,59777,17569,27828,1002576,34133,298604,48078,1691,2203,346589,7045,35438,63582,100843,188197,9343,106658,25972,22621,7486,182624,59421,3311,12475,66665,50783,275705,24464,63488,625656,0,1026121,35351,29471,229686,5213,95139,4688,676478,124996,484,3276,59245,32335,5424,20628,13378
T23,21311,27833,32787,23533,101237,71142,5269,2916,95,16275,24899,536,34436,42936,20011,28262,23522,26536,29665,16282,18149,5456,58440,64903,17862,32740,45606,13576,10496,9804,13206,24655,51775,17488,14814,38428,19910,54100,74679,1714,17541,27781,32959,104390,28720,7319,27983,44906,12599,66962,34371
T24,189345,59497,198227,153445,3745377,474534,211091,51790,36083,1380910,337456,168980,135169,1623571,208572,548670,212064,190370,75628,102306,474475,390879,979061,694226,154677,272542,136787,92600,166067,94395,617428,188156,1357553,591457,119312,725263,754435,514003,837823,69681,214192,76143,269317,2177571,175679,70398,451215,535636,2539,467502,71954
T25,20920,0,30215,17657,280038,28660,43717,5712,4074,187182,91117,360,9943,116206,207097,21867,19622,16600,11581,10064,36859,105322,54695,44233,40086,15829,8042,6062,26517,12125,53016,3671,145500,111132,5289,82388,20109,41484,54847,4967,8813,3773,47194,139337,15733,7795,40370,102924,108409,39691,2217
T27,14233,840,25986,9985,388443,14156,676,0,0,24569,0,21329,53613,16217,0,17590,5340,0,7622,0,0,0,27357,928,3212,20118,12,0,0,9081,6765,1151,24165,17268,6,29523,947,14061,75269,0,10144,0,5840,28080,0,0,0,18689,369,72199,0
T28,58178,43060,131360,129711,4330853,44577,132703,231407,29324,198483,83662,38023,74790,469458,46157,115632,65516,126113,110176,101562,213324,317250,164127,451755,100025,134644,98851,9619,239476,91654,495599,39912,176275,261360,86656,940646,78572,292563,981965,52462,96472,135841,293122,668807,53264,18869,199707,294448,11622,325376,26172
T29,0,8812,2938,1679,7622,975,2243,5461,36307,4554,20755,12088,3806,34068,82806,3006,2218,5098,4221,8647,1870,163860,188854,63331,39168,21889,9935,0,3437,7619,1396,0,1459,24021,0,28371,261,6858,19556,3307,16808,21741,8789,164396,1008,1873,4138,227060,7060,4660,0
T40,3206583,0,3462413,2602160,67995659,5658457,7772602,1040341,1679173,0,8965572,1745461,1338075,16642154,4896317,3197578,2511660,3749258,2753680,1414110,7773773,13246221,7874712,9623831,1667344,5361976,1063261,2124164,0,92743,11973673,1297493,42964774,10390520,498528,8424843,2962128,6649418,10809736,1109636,3455706,0,239219,0,2889912,675240,10877689,0,1770466,6793269,0
T41,406408,408938,575180,398493,8858498,717506,627358,278872,415581,2043750,943806,126045,190002,4439832,866747,388699,330181,674464,481212,182928,982784,2194620,881011,1325656,526302,357724,150139,306591,0,542847,2368068,205702,4861687,1360628,250438,-118,397290,495134,2301589,137528,366263,24819,1176971,0,307910,105817,740511,0,203508,981282,0
T50,8,0,0,3,0,434,147737,1434,32123,1710,0,14789,0,294138,87712,90791,136,45844,150,23962,213780,401512,177,181388,9,129,4,0,50,0,685459,0,1238320,19932,15,39392,1056,85491,849194,40299,0,0,107341,0,0,35542,196,157286,0,-77,0
T51,36669,0,17860,32715,0,0,173839,72347,391231,2109370,289,75831,0,56552,0,14786,0,3271,0,24777,158844,246850,233416,187063,0,11340,0,9044,64712,106745,376772,0,1037341,52251,0,0,16296,3114,438984,17377,60334,192,167055,0,0,30931,310205,649085,10392,51179,0
T53,115437,2456212,26190,108511,38686,245087,0,0,0,49100,0,0,6004,0,2500,0,124883,241989,862150,0,0,0,73488,50578,91059,5,305614,6762,111395,0,0,1066343,0,1776,3293053,10194,679406,23424,0,0,0,8950,2487,6014350,155743,0,2165,41950,681824,8984,883025
T99,0,0,0,24743,76204,0,778,1086,43804,0,0,0,0,0,0,0,0,0,0,0,197806,197503,0,0,525,74,3502,0,385840,0,0,0,1447230,0,0,0,0,0,25986,0,0,0,19779,0,0,4567,124248,0,0,11802,6417
